trial_id,value,state,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
11,-1000000.0,TrialState.COMPLETE,4.0,1450,1520,22.743723810765623,158,0.3987341772151899,79.0,True,-0.18932395512296174,-0.1893458472572741,,3,4.779424352719802,249,0.43373493975903615,124.5,True,,560,-0.1893458472572741,False,0.1437032871473365,-0.05089878911067648,,5,-3.8275940382035065,153,0.3137254901960784,76.5,False,0.07592156291688212,-0.12254371397348723,,5,7.898518041760639,93.33333333333333,0.39107142857142857,4,['mdd']
12,21.79409110017313,TrialState.COMPLETE,6.0,1490,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
13,-1000000.0,TrialState.COMPLETE,3.5,1460,1500,16.975038682583424,157,0.40764331210191085,78.5,True,-0.17609371808661733,-0.17705986873636723,,3,7.930937984219131,236,0.4449152542372881,118.0,True,,544,-0.17705986873636723,False,0.13127346758732772,-0.060484793696263466,,5,-3.930546680501813,151,0.304635761589404,75.5,False,0.10156700626902104,-0.10583473336231658,,5,6.991809995433581,90.66666666666667,0.3952205882352941,4,['mdd']
14,-1000000.0,TrialState.COMPLETE,2.0,1430,1505,13.69241097766526,320,0.4,160.0,True,-0.20921551218404888,-0.2094919796943289,,3,5.107312646693884,401,0.41895261845386533,200.5,True,,1016,-0.2094919796943289,False,0.09829757800465755,-0.05191641356569443,,5,-3.645571830057881,295,0.3152542372881356,147.5,False,0.07461063210586394,-0.11230089201302165,,5,5.0513839314337545,169.33333333333334,0.3828740157480315,4,['mdd']
15,7.55857505886755,TrialState.COMPLETE,4.5,1470,1505,18.334303080439778,120,0.4083333333333333,60.0,True,-0.1392159634842901,-0.14011470816629024,,4,8.638199536714282,188,0.43617021276595747,94.0,True,,425,-0.14011470816629024,True,0.10675242803849949,-0.04296194541722251,,5,-4.29677744055141,117,0.28205128205128205,58.5,False,0.09699022362591347,-0.0916568110182804,,5,7.55857505886755,70.83333333333333,0.38588235294117645,5,
16,-1000000.0,TrialState.COMPLETE,2.0,1450,1505,20.557584717863055,292,0.3938356164383562,146.0,True,-0.20142421028279278,-0.20374823642562032,,3,10.208315772513073,381,0.4330708661417323,190.5,True,,934,-0.20374823642562032,False,0.1517098659631393,-0.060589817325375335,,5,-3.676309890338115,261,0.3103448275862069,130.5,False,0.1328550855731263,-0.11699406999815044,,5,9.029863533346004,155.66666666666666,0.38650963597430404,4,['mdd']
17,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
18,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
19,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
20,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
21,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
22,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
