trial_id,value,state,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
30,90.97905495170748,TrialState.COMPLETE,16,0.2,1500,130.626367419149,105,0.5714285714285714,52.5,True,-0.10477626795311001,-0.11525434395293742,-0.9711524295679947,3,146.5928779142936,115,0.5652173913043478,57.5,True,15.199304343099671,261,-0.11525434395293742,True,0.28039626555130304,-0.023877178923395654,,5,-4.282080478320192,41,0.34146341463414637,20.5,False,0.3332009655977761,-0.03493540951013719,31.369761115767336,5,90.97905495170748,43.5,0.5325670498084292,5,
31,90.97905495170748,TrialState.COMPLETE,16,0.2,1500,130.626367419149,105,0.5714285714285714,52.5,True,-0.10477626795311001,-0.11525434395293742,-0.9711524295679947,3,146.5928779142936,115,0.5652173913043478,57.5,True,15.199304343099671,261,-0.11525434395293742,True,0.28039626555130304,-0.023877178923395654,,5,-4.282080478320192,41,0.34146341463414637,20.5,False,0.3332009655977761,-0.03493540951013719,31.369761115767336,5,90.97905495170748,43.5,0.5325670498084292,5,
32,89.02653101276398,TrialState.COMPLETE,18,0.6000000000000001,1500,127.31880287022365,92,0.5760869565217391,46.0,True,-0.10581577310110513,-0.11498061255294263,-1.5776149017089927,4,144.08440818900914,102,0.5686274509803921,51.0,True,19.889883200919503,227,-0.11498061255294263,True,0.2740568904525502,-0.023590767195141662,,5,-4.323618020940889,33,0.36363636363636365,16.5,False,0.33016041041420796,-0.03493689020483298,41.357381303547996,5,89.02653101276398,37.833333333333336,0.5418502202643172,5,
33,89.15682837646357,TrialState.COMPLETE,17,0.6000000000000001,1500,131.24890333407603,93,0.5806451612903226,46.5,True,-0.11554318023501653,-0.12469465431855395,-1.6375794382519175,3,140.47058833916472,103,0.5631067961165048,51.5,True,26.224692506502862,231,-0.12469465431855395,True,0.27915993169480013,-0.023590767195141662,,5,-4.249006543850062,35,0.34285714285714286,17.5,False,0.3257388829420247,-0.03494404460353083,54.08696445125764,5,89.15682837646357,38.5,0.5367965367965368,5,
34,89.02653101276398,TrialState.COMPLETE,18,0.6000000000000001,1500,127.31880287022365,92,0.5760869565217391,46.0,True,-0.10581577310110513,-0.11498061255294263,-1.5776149017089927,4,144.08440818900914,102,0.5686274509803921,51.0,True,19.889883200919503,227,-0.11498061255294263,True,0.2740568904525502,-0.023590767195141662,,5,-4.323618020940889,33,0.36363636363636365,16.5,False,0.33016041041420796,-0.03493689020483298,41.357381303547996,5,89.02653101276398,37.833333333333336,0.5418502202643172,5,
35,89.02653101276398,TrialState.COMPLETE,18,0.6000000000000001,1480,127.31880287022365,92,0.5760869565217391,46.0,True,-0.10581577310110513,-0.11498061255294263,-1.5776149017089927,4,144.08440818900914,102,0.5686274509803921,51.0,True,19.889883200919503,227,-0.11498061255294263,True,0.2740568904525502,-0.023590767195141662,,5,-4.323618020940889,33,0.36363636363636365,16.5,False,0.33016041041420796,-0.03493689020483298,41.357381303547996,5,89.02653101276398,37.833333333333336,0.5418502202643172,5,
36,102.66261371871705,TrialState.COMPLETE,14,0.6000000000000001,1430,189.62886155140149,112,0.5535714285714286,56.0,True,-0.129783037819999,-0.14016733520163654,-0.9079376608800469,4,122.45743743950189,124,0.5241935483870968,62.0,True,11.945009284254565,283,-0.14016733520163654,True,0.29280770062570327,-0.017681726265335096,,5,-4.0984578347522085,47,0.3617021276595745,23.5,False,0.3160690151035648,-0.03790943579236173,24.79795622938918,5,102.66261371871705,47.166666666666664,0.508833922261484,5,
37,-1000000.0,TrialState.COMPLETE,14,1.0,1430,146.21868006446425,105,0.5428571428571428,52.5,True,-0.14339984751203494,-0.1549915354901223,-1.586062755130716,3,118.54426326564734,113,0.5398230088495575,56.5,True,19.375534259572316,259,-0.1549915354901223,False,0.24774021605806928,-0.017456465175276444,,5,-3.960105700134869,41,0.36585365853658536,20.5,False,0.3063379104718198,-0.03698665107542595,40.33713127427535,5,86.93427920999223,43.166666666666664,0.5135135135135135,4,['mdd']
38,102.66261371871705,TrialState.COMPLETE,14,0.6000000000000001,1430,189.62886155140149,112,0.5535714285714286,56.0,True,-0.129783037819999,-0.14016733520163654,-0.9079376608800469,4,122.45743743950189,124,0.5241935483870968,62.0,True,11.945009284254565,283,-0.14016733520163654,True,0.29280770062570327,-0.017681726265335096,,5,-4.0984578347522085,47,0.3617021276595745,23.5,False,0.3160690151035648,-0.03790943579236173,24.79795622938918,5,102.66261371871705,47.166666666666664,0.508833922261484,5,
39,76.11728118397373,TrialState.COMPLETE,14,1.0,1480,118.96500043114301,87,0.5402298850574713,43.5,True,-0.11905087785950164,-0.12820235194303914,-3.0025239794764342,3,113.60808376710447,100,0.57,50.0,True,42.8970800452746,220,-0.12820235194303914,True,0.26331903107268784,-0.023654914094912074,,5,-4.221240646326303,33,0.3333333333333333,16.5,False,0.28266289834237535,-0.03343545698194921,88.79668407002563,5,76.11728118397373,36.666666666666664,0.5227272727272727,5,
40,85.97438167107778,TrialState.COMPLETE,19,1.0,1480,130.94405063876724,82,0.5487804878048781,41.0,True,-0.085172817353531,-0.09472163440888107,-1.84973132750237,3,131.42794445795204,94,0.5851063829787234,47.0,True,19.89341371512521,205,-0.09472163440888107,True,0.2804220131846302,-0.023822873508466853,,5,-4.448850083485934,29,0.3793103448275862,14.5,False,0.3185923694133148,-0.03584317101717756,41.63655875775279,5,85.97438167107778,34.166666666666664,0.5414634146341464,5,
41,76.11728118397373,TrialState.COMPLETE,14,1.0,1480,118.96500043114301,87,0.5402298850574713,43.5,True,-0.11905087785950164,-0.12820235194303914,-3.0025239794764342,3,113.60808376710447,100,0.57,50.0,True,42.8970800452746,220,-0.12820235194303914,True,0.26331903107268784,-0.023654914094912074,,5,-4.221240646326303,33,0.3333333333333333,16.5,False,0.28266289834237535,-0.03343545698194921,88.79668407002563,5,76.11728118397373,36.666666666666664,0.5227272727272727,5,
42,76.11728118397373,TrialState.COMPLETE,14,1.0,1480,118.96500043114301,87,0.5402298850574713,43.5,True,-0.11905087785950164,-0.12820235194303914,-3.0025239794764342,3,113.60808376710447,100,0.57,50.0,True,42.8970800452746,220,-0.12820235194303914,True,0.26331903107268784,-0.023654914094912074,,5,-4.221240646326303,33,0.3333333333333333,16.5,False,0.28266289834237535,-0.03343545698194921,88.79668407002563,5,76.11728118397373,36.666666666666664,0.5227272727272727,5,
