trial_id,value,state,p_chase_threshold_pct,p_limit_proximity_pct,p_vol_lookback_bars,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold1_all_pass,a_fold2_test_calmar,a_fold2_test_return,a_fold2_test_trades,a_fold2_test_mdd,a_fold2_test_win_rate,a_fold2_overfit,a_fold2_monthly_trades,a_fold2_gates_passed,a_fold2_all_pass,a_fold3_test_calmar,a_fold3_test_return,a_fold3_test_trades,a_fold3_test_mdd,a_fold3_test_win_rate,a_fold3_overfit,a_fold3_monthly_trades,a_fold3_gates_passed,a_fold3_all_pass,a_avg_calmar,a_avg_overfit,a_avg_monthly_trades,a_agg_trades,a_agg_win_rate,a_worst_mdd,a_agg_gates_passed,a_valid,a_failed_aggregate_gates
20,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,3.0,300,6.5,-1.5,-2.0993208531946665,-0.006913929381879069,7,-0.01855665904885903,0.14285714285714285,-15.424132286830572,3.5,2,False,-5.873354851616537,-0.017687003978012705,3,-0.01768700397801265,0.0,,1.5,2,False,-1.4343136980636442,-0.011953641341534982,13,-0.05086953543104306,0.23076923076923078,,6.5,3,False,-3.1356631342916157,-15.424132286830572,3.8333333333333335,23,0.17391304347826086,-0.05086953543104306,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
21,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,3.0,300,6.5,-2.0,7.62654129745551,0.01653925958101654,5,-0.01291606011342585,0.4,0.6666875484696505,2.5,3,False,-5.873354851616537,-0.017687003978012705,3,-0.01768700397801265,0.0,-1.2749293924469431,1.5,1,False,-1.8223688223566592,-0.01613878501990329,12,-0.05346075776441684,0.25,,6.0,3,False,-0.023060792172562294,-0.3041209219886463,3.3333333333333335,20,0.25,-0.05346075776441684,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
22,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,3.0,300,6.0,-2.0,6.17838119099445,0.01349561532379151,5,-0.01291606011342585,0.4,0.5928623669888002,2.5,3,False,-5.873354851616537,-0.017687003978012705,3,-0.01768700397801265,0.0,-1.463615344391059,1.5,1,False,-0.34797787044746537,-0.0022398726707669736,12,-0.04031206613934176,0.3333333333333333,,6.0,3,False,-0.01431717702318408,-0.4353764887011293,3.3333333333333335,20,0.3,-0.04031206613934176,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
23,-1000000.0,TrialState.COMPLETE,19.0,27.0,15,3.0,300,6.0,-2.0,1.521034750736654,0.006548592035203971,6,-0.025042719495958685,0.3333333333333333,,3.0,3,False,-5.77162461025243,-0.024507148397396317,4,-0.024507148397396355,0.0,,2.0,2,False,12.808351879286821,0.027958878743163718,17,-0.014812726087081653,0.4117647058823529,,8.5,4,False,2.852587339923682,,4.5,27,0.3333333333333333,-0.025042719495958685,3,False,"['trades', 'win_rate', 'calmar_floor']"
24,-1000000.0,TrialState.COMPLETE,22.0,27.5,15,3.5,300,6.0,-2.0,-2.033769937930048,-0.006434052633242038,4,-0.01784549673639208,0.25,-0.18388625382820445,2.0,1,False,-5.949235348764309,-0.012682891677550101,2,-0.012682891677550077,0.0,-4.045262814515132,1.0,1,False,0.08653349772619773,0.0003398426107767971,10,-0.024764254298304474,0.3,,5.0,3,False,-2.6321572629893866,-2.114574534171668,2.6666666666666665,16,0.25,-0.024764254298304474,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
25,-1000000.0,TrialState.COMPLETE,19.0,27.5,15,3.0,300,6.0,-2.0,0.2415519638397882,0.0010535681324286283,7,-0.025042719495958685,0.2857142857142857,,3.5,3,False,-5.695129001538477,-0.02972241356987526,5,-0.02972241356987521,0.0,,2.5,2,False,9.384447514786435,0.024351724389045204,18,-0.01744041794394318,0.3888888888888889,,9.0,4,False,1.3102901590292488,,5.0,30,0.3,-0.02972241356987521,3,False,"['trades', 'win_rate', 'calmar_floor']"
26,-1000000.0,TrialState.COMPLETE,18.0,27.0,15,3.5,300,7.0,-2.0,-3.084194355329839,-0.011373363284219007,6,-0.02056025567628145,0.16666666666666666,-5.826781844277617,3.0,2,False,-5.801252990307227,-0.022507397669302653,4,-0.02250739766930267,0.0,,2.0,2,False,4.867754420381384,0.023999549454085667,17,-0.03310572215276103,0.29411764705882354,,8.5,3,False,-1.3392309750852276,-5.826781844277617,4.5,27,0.2222222222222222,-0.03310572215276103,2,False,"['overfit', 'trades', 'win_rate', 'calmar_floor']"
27,-1000000.0,TrialState.COMPLETE,16.0,27.0,15,10.0,180,7.5,-2.0,,0.0,0,0.0,0.0,,0.0,1,False,,0.0,0,0.0,0.0,,0.0,1,False,-6.122840058991663,-0.010776542761301133,2,-0.0107765427613011,0.0,,1.0,2,False,-6.122840058991663,,0.3333333333333333,2,0.0,-0.0107765427613011,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
28,-1000000.0,TrialState.COMPLETE,17.0,27.0,10,4.5,60,2.0,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,1442.4126473750198,0.006745136997237555,2,-2.999233125001192e-05,1.0,,1.0,3,False,1442.4126473750198,,0.3333333333333333,2,1.0,-2.999233125001192e-05,3,False,"['trades', 'monthly_trades']"
29,-1000000.0,TrialState.COMPLETE,18.0,26.5,10,10.0,60,2.0,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,,0.0,0,0.0,0.0,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
