trial_id,value,state,p_gap_threshold_pct,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold1_all_pass,a_fold2_test_calmar,a_fold2_test_return,a_fold2_test_trades,a_fold2_test_mdd,a_fold2_test_win_rate,a_fold2_overfit,a_fold2_monthly_trades,a_fold2_gates_passed,a_fold2_all_pass,a_fold3_test_calmar,a_fold3_test_return,a_fold3_test_trades,a_fold3_test_mdd,a_fold3_test_win_rate,a_fold3_overfit,a_fold3_monthly_trades,a_fold3_gates_passed,a_fold3_all_pass,a_avg_calmar,a_avg_overfit,a_avg_monthly_trades,a_agg_trades,a_agg_win_rate,a_worst_mdd,a_agg_gates_passed,a_valid,a_failed_aggregate_gates
584,-1000000.0,TrialState.COMPLETE,1.5,3.0,90,6.0,-1.0,-3.295052368277931,-0.11839342532452579,490,-0.1560126070582168,0.19387755102040816,,245.0,3,False,-2.053422993278777,-0.4609775520657339,618,-0.47608019238901395,0.11326860841423948,,309.0,3,False,-2.779442916265298,-0.2959675595744433,701,-0.3203498518660073,0.1754636233951498,,350.5,3,False,-2.709306092607335,,301.5,1809,0.15920398009950248,-0.47608019238901395,3,False,"['mdd', 'win_rate', 'calmar_floor']"
585,-1000000.0,TrialState.COMPLETE,1.5,2.0,90,6.0,-3.5,22.872041515858694,0.12024444664412148,228,-0.0400551352533638,0.4605263157894737,,114.0,5,True,-3.1128309535362373,-0.15731076373360664,278,-0.20905657438305122,0.30935251798561153,-10.801196929089926,139.0,2,False,3.5120607415770273,0.04365729781804628,339,-0.0879612614927755,0.46017699115044247,,169.5,5,True,7.757090434633162,-10.801196929089926,140.83333333333334,845,0.4106508875739645,-0.20905657438305122,3,False,"['overfit', 'mdd']"
586,-1000000.0,TrialState.COMPLETE,4.0,2.0,30,6.0,-3.5,-4.056922002994965,-0.09404999848681916,58,-0.10649244186898664,0.3275862068965517,,29.0,4,False,-3.561588351182814,-0.20058408902556057,54,-0.20985427335437395,0.24074074074074073,,27.0,3,False,-3.2482083577152414,-0.11145428271419588,95,-0.16163126941144376,0.37894736842105264,,47.5,4,False,-3.6222395706310073,,34.5,207,0.3285024154589372,-0.20985427335437395,3,False,"['mdd', 'win_rate', 'calmar_floor']"
587,-1000000.0,TrialState.COMPLETE,4.0,2.0,30,6.0,-3.5,-4.056922002994965,-0.09404999848681916,58,-0.10649244186898664,0.3275862068965517,,29.0,4,False,-3.561588351182814,-0.20058408902556057,54,-0.20985427335437395,0.24074074074074073,,27.0,3,False,-3.2482083577152414,-0.11145428271419588,95,-0.16163126941144376,0.37894736842105264,,47.5,4,False,-3.6222395706310073,,34.5,207,0.3285024154589372,-0.20985427335437395,3,False,"['mdd', 'win_rate', 'calmar_floor']"
588,-1000000.0,TrialState.COMPLETE,4.0,2.0,75,6.0,-4.0,5.965571582080005,0.043068279245004115,62,-0.04578894801172242,0.46774193548387094,,31.0,5,True,-3.6484059302426064,-0.19367479801918608,54,-0.20110004552900312,0.25925925925925924,,27.0,3,False,-0.5472378414277163,-0.008784693683426048,103,-0.09880769225193944,0.4563106796116505,,51.5,5,False,0.5899759368032275,,36.5,219,0.410958904109589,-0.20110004552900312,4,False,"['mdd', 'calmar_floor']"
589,-1000000.0,TrialState.COMPLETE,4.0,2.0,30,6.0,-4.0,-2.8252483866030467,-0.05122709156520466,56,-0.09204515681550562,0.39285714285714285,,28.0,5,False,-3.7392421659490935,-0.18207461951573256,50,-0.1896794809009365,0.26,,25.0,3,False,-0.37777710613885257,-0.004881816956106122,92,-0.08036575450330619,0.45652173913043476,,46.0,5,False,-2.314089219563664,,33.0,198,0.3888888888888889,-0.1896794809009365,4,False,"['mdd', 'calmar_floor']"
590,-1000000.0,TrialState.COMPLETE,4.0,2.0,30,6.0,-4.0,-2.8252483866030467,-0.05122709156520466,56,-0.09204515681550562,0.39285714285714285,,28.0,5,False,-3.7392421659490935,-0.18207461951573256,50,-0.1896794809009365,0.26,,25.0,3,False,-0.37777710613885257,-0.004881816956106122,92,-0.08036575450330619,0.45652173913043476,,46.0,5,False,-2.314089219563664,,33.0,198,0.3888888888888889,-0.1896794809009365,4,False,"['mdd', 'calmar_floor']"
591,-1000000.0,TrialState.COMPLETE,4.0,2.0,30,4.0,-4.0,-3.1429722888313107,-0.05888877980429952,59,-0.09342311799718737,0.4576271186440678,,29.5,5,False,-3.5754502637038637,-0.20221360312396586,56,-0.20992111953799364,0.3392857142857143,,28.0,3,False,-3.2634569330472556,-0.07682573990705588,99,-0.1212370240675804,0.5050505050505051,,49.5,5,False,-3.32729316186081,,35.666666666666664,214,0.4485981308411215,-0.20992111953799364,4,False,"['mdd', 'calmar_floor']"
592,-1000000.0,TrialState.COMPLETE,4.0,2.0,30,2.5,-4.0,-3.939320317899444,-0.1443307739073807,64,-0.14988851975753414,0.53125,,32.0,5,False,-3.3825430165450805,-0.23723315383927757,58,-0.23967313018525485,0.3793103448275862,,29.0,4,False,-3.391349069945498,-0.11425470983600039,110,-0.15756704179469389,0.6181818181818182,,55.0,4,False,-3.5710708014633408,,38.666666666666664,232,0.5344827586206896,-0.23967313018525485,4,False,"['mdd', 'calmar_floor']"
593,-1000000.0,TrialState.COMPLETE,4.0,2.0,75,5.0,-4.0,0.8758035895310254,0.009402155650596322,65,-0.06286737590312926,0.47692307692307695,,32.5,5,False,-3.6281781417369205,-0.20018716131762615,54,-0.20578998101809035,0.2777777777777778,,27.0,3,False,-1.6783203039040493,-0.03640530903398842,110,-0.1241403532634595,0.4818181818181818,,55.0,5,False,-1.4768982853699815,,38.166666666666664,229,0.43231441048034935,-0.20578998101809035,4,False,"['mdd', 'calmar_floor']"
594,-1000000.0,TrialState.COMPLETE,7.0,2.5,75,2.5,-4.0,-3.661281926796186,-0.10084988567805564,33,-0.1245514879607763,0.45454545454545453,,16.5,5,False,-4.6956999712896,-0.06999158081613954,14,-0.07662519807055712,0.42857142857142855,,7.0,4,False,1.6267353414515369,0.017999467174053096,40,-0.07312015284859658,0.7,,20.0,5,False,-2.243415518878083,,14.5,87,0.5632183908045977,-0.1245514879607763,4,False,"['trades', 'calmar_floor']"
595,-1000000.0,TrialState.COMPLETE,7.0,3.5,75,2.5,-3.0,-4.055710926237851,-0.12896713980078978,32,-0.13475234034513903,0.34375,,16.0,4,False,-4.492746227414898,-0.09835682722257344,20,-0.10478895204402089,0.35,,10.0,4,False,-1.07805153276458,-0.014011983000550843,44,-0.07890415396209206,0.6363636363636364,,22.0,5,False,-3.208836228805776,,16.0,96,0.4791666666666667,-0.13475234034513903,5,False,['calmar_floor']
596,-1000000.0,TrialState.COMPLETE,7.0,3.5,75,2.5,-3.0,-4.055710926237851,-0.12896713980078978,32,-0.13475234034513903,0.34375,,16.0,4,False,-4.492746227414898,-0.09835682722257344,20,-0.10478895204402089,0.35,,10.0,4,False,-1.07805153276458,-0.014011983000550843,44,-0.07890415396209206,0.6363636363636364,,22.0,5,False,-3.208836228805776,,16.0,96,0.4791666666666667,-0.13475234034513903,5,False,['calmar_floor']
597,-1000000.0,TrialState.COMPLETE,7.0,3.5,75,2.5,-3.0,-4.055710926237851,-0.12896713980078978,32,-0.13475234034513903,0.34375,,16.0,4,False,-4.492746227414898,-0.09835682722257344,20,-0.10478895204402089,0.35,,10.0,4,False,-1.07805153276458,-0.014011983000550843,44,-0.07890415396209206,0.6363636363636364,,22.0,5,False,-3.208836228805776,,16.0,96,0.4791666666666667,-0.13475234034513903,5,False,['calmar_floor']
598,-1000000.0,TrialState.COMPLETE,7.0,3.5,75,4.0,-3.0,-3.9900524093393224,-0.12332103239678893,29,-0.13268524811382917,0.27586206896551724,,14.5,3,False,-4.312089885130366,-0.09600624449214679,19,-0.10719936151123062,0.2631578947368421,,9.5,3,False,1.5197351524145803,0.015941885784770182,37,-0.0689429637154944,0.5405405405405406,,18.5,5,False,-2.260802380685036,,14.166666666666666,85,0.38823529411764707,-0.13268524811382917,4,False,"['trades', 'calmar_floor']"
599,-1000000.0,TrialState.COMPLETE,7.0,3.5,75,5.0,-3.0,-4.022254142854636,-0.09562039592735816,25,-0.10880644083367418,0.24,,12.5,3,False,-4.597596403908234,-0.07214874307679231,15,-0.08023355817323413,0.2,,7.5,3,False,29.308207233501694,0.11068008140307883,31,-0.0319828907645811,0.5806451612903226,,15.5,5,True,6.896118895579608,,11.833333333333334,71,0.38028169014084506,-0.10880644083367418,4,False,['trades']
600,-1000000.0,TrialState.COMPLETE,7.0,3.5,75,5.0,-3.0,-4.022254142854636,-0.09562039592735816,25,-0.10880644083367418,0.24,,12.5,3,False,-4.597596403908234,-0.07214874307679231,15,-0.08023355817323413,0.2,,7.5,3,False,29.308207233501694,0.11068008140307883,31,-0.0319828907645811,0.5806451612903226,,15.5,5,True,6.896118895579608,,11.833333333333334,71,0.38028169014084506,-0.10880644083367418,4,False,['trades']
601,-1000000.0,TrialState.COMPLETE,7.0,2.5,75,7.5,-3.0,-3.8392592447393477,-0.10735369863522692,23,-0.12454793714259345,0.17391304347826086,,11.5,3,False,-4.617178961407703,-0.06756052330599671,15,-0.0756855623779312,0.2,,7.5,3,False,28.79191954401317,0.11537481027762131,28,-0.034368442677334125,0.5,,14.0,4,False,6.7784937792887066,,11.0,66,0.3181818181818182,-0.12454793714259345,3,False,"['trades', 'win_rate']"
602,-1000000.0,TrialState.COMPLETE,7.0,3.5,60,2.0,-3.0,-4.242355365209956,-0.1119302018881907,29,-0.11628206030082158,0.3793103448275862,,14.5,4,False,-4.582658562117738,-0.09541813509750774,20,-0.10040011326133519,0.4,,10.0,4,False,4.874420686933283,0.01812038201049737,46,-0.024574141248741754,0.6956521739130435,,23.0,5,True,-1.3168644134648035,,15.833333333333334,95,0.5368421052631579,-0.11628206030082158,5,False,['calmar_floor']
603,-1000000.0,TrialState.COMPLETE,6.5,3.5,60,6.5,-3.0,-3.983223339990872,-0.09030835859557274,25,-0.10505686274363478,0.24,,12.5,3,False,-4.5392099720818315,-0.08279049548841833,15,-0.09078212753112548,0.2,,7.5,3,False,3.162799502215025,0.030036389901508143,36,-0.06480207571803419,0.4166666666666667,,18.0,5,True,-1.7865446032858927,,12.666666666666666,76,0.3157894736842105,-0.10505686274363478,3,False,"['trades', 'win_rate', 'calmar_floor']"
604,-1000000.0,TrialState.COMPLETE,5.0,3.5,60,6.5,-2.5,-0.032673853092181654,-0.0004906213419169081,45,-0.08589944017619562,0.3111111111111111,,22.5,4,False,-3.856431366123351,-0.16689396915114652,42,-0.17489372365778708,0.16666666666666666,,21.0,3,False,-0.733576158354737,-0.009129417430264741,70,-0.07653184305014026,0.32857142857142857,,35.0,4,False,-1.5408937925234232,,26.166666666666668,157,0.2802547770700637,-0.17489372365778708,3,False,"['mdd', 'win_rate', 'calmar_floor']"
605,-1000000.0,TrialState.COMPLETE,5.5,2.5,45,5.0,-1.5,-0.9098805438163913,-0.012323722172533413,48,-0.07534679719565418,0.2708333333333333,,24.0,4,False,-3.928249870545855,-0.1315236670590587,41,-0.14756560146125727,0.12195121951219512,,20.5,4,False,-2.246934272683104,-0.04903217214406108,77,-0.12082000283558401,0.2857142857142857,,38.5,4,False,-2.3616882290151167,,27.666666666666668,166,0.24096385542168675,-0.14756560146125727,4,False,"['win_rate', 'calmar_floor']"
606,-1000000.0,TrialState.COMPLETE,6.5,1.5,45,6.5,-1.5,-3.727853017839685,-0.07287245701099221,36,-0.09433470344588481,0.16666666666666666,,18.0,4,False,-4.53619180063345,-0.06547336848840302,21,-0.07505237241410909,0.14285714285714285,,10.5,3,False,-2.6784740744847144,-0.04473238418659309,53,-0.09351295447755698,0.24528301886792453,,26.5,4,False,-3.6475062976526167,,18.333333333333332,110,0.2,-0.09433470344588481,4,False,"['win_rate', 'calmar_floor']"
607,-1000000.0,TrialState.COMPLETE,6.5,2.5,60,6.5,-1.5,-4.009421838306351,-0.08678301323577764,38,-0.10112155561419421,0.15789473684210525,,19.0,4,False,-4.4945591439615775,-0.07773828755219403,23,-0.08719220093716092,0.13043478260869565,,11.5,3,False,-2.8617160641828443,-0.05223334653864664,53,-0.10021520292461203,0.24528301886792453,,26.5,4,False,-3.788565682150258,,19.0,114,0.19298245614035087,-0.10112155561419421,4,False,"['win_rate', 'calmar_floor']"
608,-1000000.0,TrialState.COMPLETE,6.5,5.0,60,6.5,-1.5,-4.017267066119499,-0.07409875320902337,35,-0.08875734256309878,0.14285714285714285,,17.5,4,False,-3.502325147233063,-0.04859456472475765,19,-0.07530592563869629,0.15789473684210525,,9.5,3,False,-2.990038602686216,-0.058437319080497985,51,-0.10558199670357953,0.23529411764705882,,25.5,4,False,-3.5032102720129257,,17.5,105,0.19047619047619047,-0.10558199670357953,4,False,"['win_rate', 'calmar_floor']"
609,-1000000.0,TrialState.COMPLETE,2.5,5.0,60,6.5,-1.5,-1.8050152071867496,-0.03742287976751246,172,-0.10871479440141052,0.23837209302325582,,86.0,4,False,-3.0247821546634435,-0.25513624336652185,199,-0.2765210990028924,0.1407035175879397,,99.5,3,False,-3.217201138598843,-0.22455691928554822,277,-0.24821303927747282,0.21660649819494585,,138.5,3,False,-2.6823328334830117,,108.0,648,0.19907407407407407,-0.2765210990028924,3,False,"['mdd', 'win_rate', 'calmar_floor']"
610,-1000000.0,TrialState.COMPLETE,6.5,5.0,45,6.5,-1.5,-3.521648169498586,-0.0629142215876961,32,-0.08824180436212085,0.15625,,16.0,4,False,-3.244517129693379,-0.0374872244379324,17,-0.06450941207871119,0.17647058823529413,,8.5,3,False,-2.911246531455912,-0.053990793238805734,50,-0.10135811140573785,0.24,,25.0,4,False,-3.2258039435492925,,16.5,99,0.20202020202020202,-0.10135811140573785,4,False,"['win_rate', 'calmar_floor']"
611,-1000000.0,TrialState.COMPLETE,5.0,1.5,45,6.5,-1.5,-0.9698688726397929,-0.013274146096819761,59,-0.07596732737823152,0.2542372881355932,,29.5,4,False,-3.829273754201609,-0.1659935033723957,53,-0.17556775511770287,0.11320754716981132,,26.5,3,False,-2.525231188014306,-0.04327489640512905,100,-0.09632316387581043,0.23,,50.0,4,False,-2.441457938285236,,35.333333333333336,212,0.20754716981132076,-0.17556775511770287,3,False,"['mdd', 'win_rate', 'calmar_floor']"
612,-1000000.0,TrialState.COMPLETE,2.5,1.5,45,6.5,-2.5,19.18312063451731,0.15172219287779742,126,-0.06493823312590478,0.3968253968253968,,63.0,5,True,-3.0350026925184057,-0.2569932850120995,173,-0.27641054827178113,0.1907514450867052,,86.5,3,False,-1.143067604949394,-0.030606523281208498,252,-0.15559088523338072,0.3492063492063492,,126.0,3,False,5.00168344568317,,91.83333333333333,551,0.3103448275862069,-0.27641054827178113,3,False,"['mdd', 'win_rate']"
613,-1000000.0,TrialState.COMPLETE,2.5,1.5,45,8.0,-1.5,5.849505334922614,0.05927663148024087,168,-0.0667931502111714,0.24404761904761904,,84.0,4,False,-2.619940739959638,-0.3056644790639004,247,-0.34114278346172316,0.10121457489878542,,123.5,3,False,-1.4100604362565625,-0.0373207681542338,349,-0.15110957455422677,0.21203438395415472,,174.5,3,False,0.606501386235471,,127.33333333333333,764,0.18324607329842932,-0.34114278346172316,3,False,"['mdd', 'win_rate', 'calmar_floor']"
614,-1000000.0,TrialState.COMPLETE,2.5,5.0,45,8.0,-2.5,22.435599459731588,0.17010446157303938,115,-0.06502617783696872,0.3739130434782609,,57.5,5,True,-3.1302410767123914,-0.18456528043349052,144,-0.22830722307213797,0.16666666666666666,-2.483973292419024,72.0,2,False,-0.7902865594984648,-0.024398832460966857,201,-0.18235753781195235,0.31840796019900497,,100.5,3,False,6.171690607840244,-2.483973292419024,76.66666666666667,460,0.2847826086956522,-0.22830722307213797,2,False,"['overfit', 'mdd', 'win_rate']"
615,-1000000.0,TrialState.COMPLETE,2.5,5.0,45,8.0,-2.5,22.435599459731588,0.17010446157303938,115,-0.06502617783696872,0.3739130434782609,,57.5,5,True,-3.1302410767123914,-0.18456528043349052,144,-0.22830722307213797,0.16666666666666666,-2.483973292419024,72.0,2,False,-0.7902865594984648,-0.024398832460966857,201,-0.18235753781195235,0.31840796019900497,,100.5,3,False,6.171690607840244,-2.483973292419024,76.66666666666667,460,0.2847826086956522,-0.22830722307213797,2,False,"['overfit', 'mdd', 'win_rate']"
616,-1000000.0,TrialState.COMPLETE,2.5,4.5,45,8.0,-2.5,22.17393837544864,0.1686866884458884,118,-0.06502617783696872,0.3728813559322034,,59.0,5,True,-2.8581053983269653,-0.1739794073383194,150,-0.24180860035007315,0.17333333333333334,-2.4333706587586974,75.0,2,False,-1.0606276827286258,-0.037072315171467696,206,-0.1996867228698002,0.3106796116504854,,103.0,3,False,6.085068431464349,-2.4333706587586974,79.0,474,0.28270042194092826,-0.24180860035007315,2,False,"['overfit', 'mdd', 'win_rate']"
617,-1000000.0,TrialState.COMPLETE,2.5,4.5,15,5.0,-2.5,1.8840246503997227,0.025107458225932522,118,-0.08099771452423744,0.3813559322033898,,59.0,5,False,-3.178161149741588,-0.2587575542174476,134,-0.2646950464933661,0.208955223880597,,67.0,3,False,-3.233303411851093,-0.13528182297910119,192,-0.1854975167423277,0.3489583333333333,,96.0,3,False,-1.5091466370643196,,74.0,444,0.3153153153153153,-0.2646950464933661,3,False,"['mdd', 'win_rate', 'calmar_floor']"
618,-1000000.0,TrialState.COMPLETE,6.0,4.5,15,3.0,-2.5,-1.401281675426596,-0.019237531185146595,28,-0.07513613626806674,0.5,,14.0,4,False,-4.2452002952342385,-0.08822771365952131,21,-0.10203906011770734,0.2857142857142857,,10.5,3,False,-3.1219105723760516,-0.043839172289957484,42,-0.0788125692854279,0.5,,21.0,5,False,-2.922797514345629,,15.166666666666666,91,0.45054945054945056,-0.10203906011770734,5,False,['calmar_floor']
619,-1000000.0,TrialState.COMPLETE,6.0,4.5,15,8.0,-2.5,2.399165104466663,0.03038561436135878,25,-0.07794674869584378,0.32,,12.5,3,False,-2.734272982396202,-0.03849302179128955,18,-0.07839989292141225,0.2222222222222222,,9.0,3,False,1.0183787910280127,0.010778984346945464,34,-0.06861648352414436,0.3235294117647059,,17.0,4,False,0.22775697103282452,,12.833333333333334,77,0.2987012987012987,-0.07839989292141225,3,False,"['trades', 'win_rate', 'calmar_floor']"
620,-1000000.0,TrialState.COMPLETE,6.0,4.5,15,8.0,-2.5,2.399165104466663,0.03038561436135878,25,-0.07794674869584378,0.32,,12.5,3,False,-2.734272982396202,-0.03849302179128955,18,-0.07839989292141225,0.2222222222222222,,9.0,3,False,1.0183787910280127,0.010778984346945464,34,-0.06861648352414436,0.3235294117647059,,17.0,4,False,0.22775697103282452,,12.833333333333334,77,0.2987012987012987,-0.07839989292141225,3,False,"['trades', 'win_rate', 'calmar_floor']"
621,-1000000.0,TrialState.COMPLETE,5.5,4.5,15,5.0,-4.0,-2.513281190838894,-0.05777646337388964,24,-0.11492201206570274,0.375,,12.0,4,False,-3.903688703214238,-0.16762453938797717,20,-0.17322494873780162,0.2,,10.0,2,False,5.52490944800069,0.03295087088094628,39,-0.04101370309593609,0.5128205128205128,,19.5,5,True,-0.29735348201748063,,13.833333333333334,83,0.39759036144578314,-0.17322494873780162,3,False,"['mdd', 'trades', 'calmar_floor']"
622,-1000000.0,TrialState.COMPLETE,4.5,4.5,15,2.0,-4.0,-3.722662371453805,-0.18109669796874905,51,-0.18307772908210956,0.49019607843137253,,25.5,4,False,-3.6819379230963194,-0.18707973739349726,45,-0.19555515852177047,0.4444444444444444,,22.5,4,False,-4.208687127914986,-0.1559516733385088,75,-0.15595167333850876,0.5866666666666667,,37.5,4,False,-3.87109580748837,,28.5,171,0.52046783625731,-0.19555515852177047,4,False,"['mdd', 'calmar_floor']"
623,-1000000.0,TrialState.COMPLETE,6.0,4.5,15,3.0,-4.0,-2.650669661570435,-0.05526106529970054,24,-0.10483724048517577,0.5,,12.0,4,False,-4.16656678510923,-0.13520602339730148,17,-0.1417257201046139,0.29411764705882354,,8.5,3,False,-2.4159015827415797,-0.03783688201302193,39,-0.08929492843434328,0.5897435897435898,,19.5,5,False,-3.077712676473748,,13.333333333333334,80,0.5,-0.1417257201046139,4,False,"['trades', 'calmar_floor']"
624,-1000000.0,TrialState.COMPLETE,5.5,4.5,15,5.0,-4.0,-2.513281190838894,-0.05777646337388964,24,-0.11492201206570274,0.375,,12.0,4,False,-3.903688703214238,-0.16762453938797717,20,-0.17322494873780162,0.2,,10.0,2,False,5.52490944800069,0.03295087088094628,39,-0.04101370309593609,0.5128205128205128,,19.5,5,True,-0.29735348201748063,,13.833333333333334,83,0.39759036144578314,-0.17322494873780162,3,False,"['mdd', 'trades', 'calmar_floor']"
625,-1000000.0,TrialState.COMPLETE,3.5,4.5,15,5.0,-4.0,-4.220918768559699,-0.06484805118531856,65,-0.07554356117669771,0.38461538461538464,,32.5,5,False,-3.127881064969817,-0.2614058349080606,59,-0.27005432771334315,0.23728813559322035,,29.5,3,False,-1.1772333516494835,-0.021538779977924416,100,-0.10888587878994035,0.49,,50.0,5,False,-2.842011061726333,,37.333333333333336,224,0.39285714285714285,-0.27005432771334315,4,False,"['mdd', 'calmar_floor']"
626,-1000000.0,TrialState.COMPLETE,3.5,5.0,15,5.0,-4.0,-4.220918768559699,-0.06484805118531856,65,-0.07554356117669771,0.38461538461538464,,32.5,5,False,-3.101460746682569,-0.2587037770448405,57,-0.2712182344095002,0.22807017543859648,,28.5,3,False,-0.19317382871545055,-0.003260431297464117,98,-0.10541836717419152,0.4897959183673469,,49.0,5,False,-2.5051844479859064,,36.666666666666664,220,0.39090909090909093,-0.2712182344095002,4,False,"['mdd', 'calmar_floor']"
