strategy,trial_id,p_min_prev_body_pct,p_max_day_decline_pct,p_entry_hhmm_start,p_entry_hhmm_end,p_gap_sl_limit_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
closing_drift,145,2.0,-2.5,1450,1470,-4.0,2.7042978570415257,0.0822925115762086,-0.1207864346135237,1.348498945962192,0.4433962264150943,212,0.1530922975307098,-3.307682490313471,-0.0719520745859321,-0.0494349619710254,0.7280240537498941,0.2545454545454545,55,-0.0265645230416633,-1.2231206269312516,27.5,3,False,False,,False,3,False
closing_drift,146,2.0,-4.0,1450,1490,-3.0,3.641149557520081,0.0972549929809501,-0.1138310485427689,1.380346660391255,0.4476987447698745,239,0.1909550580211845,-1.4351708577235944,-0.019781328838285,-0.0530746802524213,0.9079505263657978,0.3098591549295774,71,-0.0118760772967601,-0.3941532296468103,35.5,3,False,False,,False,3,False
closing_drift,147,2.75,-1.0,1480,1480,-1.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,148,2.0,-3.0,1360,1400,-4.5,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,149,1.5,-1.5,1330,1470,-2.0,2.8763496237116453,0.0898138156870511,-0.122746881344382,1.3186402159682915,0.4386617100371747,269,0.1646088971948531,-3.718619276987897,-0.0961836035728081,-0.0567324109906694,0.7175826093436131,0.352112676056338,71,-0.0350991968370133,-1.2928258951321034,35.5,4,False,False,,False,4,False
closing_drift,150,1.75,-5.0,1390,1430,-4.0,0.6876014418832298,0.031733303978186,-0.1741727283625931,1.090156690924059,0.4204204204204204,333,0.0586628966449254,2.600778659919223,0.0398557984590107,-0.0521451773824511,1.193996575657216,0.4,80,0.0193625613808139,3.782392679102168,40.0,5,False,False,,False,5,False
closing_drift,151,2.25,-3.5,1360,1410,-2.5,2.119025009735203,0.0652247796421255,-0.1117895432906743,1.2309730402673298,0.4297872340425532,235,0.1130918911214906,-0.8017374597937541,-0.012612859033438,-0.0533447299997441,0.9402112358485494,0.3333333333333333,54,-0.0065695135168148,-0.3783520515852432,27.0,3,False,False,,False,3,False
closing_drift,152,1.5,-3.0,1420,1330,-1.0,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
closing_drift,153,1.25,-4.5,1330,1460,-1.5,0.1288793895359902,0.0112700115897364,-0.1982615083987824,1.0250449997505433,0.4125269978401727,463,0.0127967239477368,-2.8089802057554007,-0.0612376051715621,-0.0740575034245133,0.8032894165713906,0.3833333333333333,120,-0.0345578727560329,-21.795418304421585,60.0,4,False,False,,False,4,False
closing_drift,154,2.5,-3.5,1450,1480,-1.5,4.482757415193358,0.1124195174970856,-0.1043310593920981,1.531099347267491,0.4623655913978494,186,0.2133288907180317,-3.815899038197659,-0.0836411404855414,-0.05847877540806,0.6727018703694934,0.2727272727272727,55,-0.0373606351391685,-0.8512392451272238,27.5,3,False,False,,False,3,False
closing_drift,155,2.25,-5.0,1300,1420,-3.5,1.937236867665496,0.0720280547612385,-0.160951473736027,1.2383496621150667,0.427652733118971,311,0.1465730520046744,-2.333766424668692,-0.0580648656759855,-0.0765164668455273,0.7757438105049944,0.3378378378378378,74,-0.0292270680957152,-1.204688215272839,37.0,3,False,False,,False,3,False
