strategy,trial_id,p_max_prev_return_pct,p_vol_mult,p_vol_lookback_days,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
post_drop_rebound,29,-3.0,3.0,4,1490,3.7506004935722874,0.0527908585982456,-0.0149077111521898,1.8792896555999503,0.4545454545454545,11,0.0277980837554749,18215.193565093738,0.1487740656786218,-2.999490202128887e-05,inf,1.0,2,0.067940267852816,4856.607254307842,1.0,3,True,False,,True,3,False
post_drop_rebound,30,-5.0,3.75,10,1470,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,4205.30255735277,0.1296508370651005,-2.9863041000068187e-05,inf,1.0,1,0.0179991414557498,5.799505267208388,0.5,3,True,False,,True,3,False
post_drop_rebound,31,-4.0,1.5,4,1470,-0.0486353062788623,-0.0003787690040475,-0.0524183334645911,0.9916133804501758,0.55,20,-0.0012856208470312,292.457407641188,0.228219011117044,-0.00598479187545,14.971668012779396,0.8235294117647058,17,0.1648114913742722,,8.5,3,True,False,,True,3,False
post_drop_rebound,32,-3.0,2.75,4,1470,3.7506004935722874,0.0527908585982456,-0.0149077111521898,1.8792896555999503,0.4545454545454545,11,0.0277980837554749,18215.193565093738,0.1487740656786218,-2.999490202128887e-05,inf,1.0,2,0.067940267852816,4856.607254307842,1.0,3,True,False,,True,3,False
post_drop_rebound,33,-5.0,2.0,10,1430,-0.262802961360096,-0.0084555608114571,-0.0397875694196512,0.8827241898640871,0.6666666666666666,6,-0.0052833763715812,110.96451845771162,0.1768854182673001,-0.0074651834760187,8.111322150007343,0.625,8,0.0952609856539699,,4.0,3,True,False,,True,3,False
post_drop_rebound,34,-6.0,3.5,5,1440,461.5171341720929,0.0708177769342979,-2.998225863754749e-05,inf,1.0,1,0.0069498043539275,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,35,-3.0,2.5,6,1450,-0.21734088596713,-0.0048909619944726,-0.0373702767560824,0.9450509766382696,0.4285714285714285,14,-0.0041015541306497,19308.24726852622,0.1542803098072836,-2.9991407691640296e-05,inf,1.0,2,0.0713173697992672,,1.0,2,True,False,,False,2,False
post_drop_rebound,36,-5.5,2.0,3,1480,4.890400933471969,0.0845862665667703,-0.0127913698279643,3.435168982176492,0.8,5,0.0310512751874747,9487.834439072474,0.1417733918101029,-5.367871133106394e-05,17.548412098773834,0.6666666666666666,3,0.0640400926831912,1940.093372331444,1.5,3,True,False,,True,3,False
post_drop_rebound,37,-4.5,1.5,4,1480,-0.704126116898373,-0.0399966858398981,-0.0587168997470523,0.6888348826984031,0.5,14,-0.0210542906051249,281.1748461233613,0.228300799385281,-0.0059800998420749,13.807141334958551,0.8,15,0.1603674044417848,,7.5,3,True,False,,True,3,False
post_drop_rebound,38,-6.0,2.25,3,1460,1.9366956988461688,0.0403725566376189,-0.0127888015505975,1.9816759662782475,0.6666666666666666,3,0.01240654992511,9487.834439072474,0.1417733918101029,-5.367871133106394e-05,17.548412098773834,0.6666666666666666,3,0.0640400926831912,4898.980487603226,1.5,3,True,False,,True,3,False
post_drop_rebound,39,-3.5,1.75,4,1500,-0.5396091507486491,-0.02236686211979,-0.0513827238807262,0.8410449823715611,0.5,20,-0.014070761581887,214.33828439708665,0.2264666520599316,-0.0059572141147874,12.315630314471935,0.7692307692307693,13,0.1320979973592198,,6.5,3,True,False,,True,3,False
post_drop_rebound,40,-7.5,3.5,5,1450,461.5171341720929,0.0708177769342979,-2.998225863754749e-05,inf,1.0,1,0.0069498043539275,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,41,-3.0,3.25,5,1470,3.069136429029779,0.0517118381874794,-0.0159870750138893,2.552993074109632,0.5,6,0.0244341892225656,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,42,-4.0,3.75,9,1460,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,43,-4.0,2.25,7,1490,0.5609042364626485,0.0128589354771207,-0.0176406818372508,1.1627839817421013,0.6666666666666666,6,0.0049744539679807,13582.19968832043,0.1781056634301617,-5.2751775037497285e-05,inf,1.0,4,0.0848813154495737,24214.828138893707,2.0,3,True,False,,True,3,False
post_drop_rebound,44,-3.0,4.0,8,1500,-1.6757125671048787,-0.0605574379360684,-0.003041991106927,0.1575198867931827,0.5,2,-0.0025722356934896,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,45,-4.0,3.25,4,1460,-0.3189492890945722,-0.0081523258631021,-0.0128563365688583,0.8430033522207596,0.5,2,-0.0020686375655132,18215.193565093738,0.1487740656786218,-2.999490202128887e-05,inf,1.0,2,0.067940267852816,,1.0,2,True,False,,False,2,False
post_drop_rebound,46,-6.5,1.75,8,1430,0.2606852599508498,0.0084032008181762,-0.0256018303689977,1.1349436535010933,0.6666666666666666,3,0.0033579450939484,147.7186752278525,0.1728707707433611,-0.0074852120391188,10.506402680228604,0.8,10,0.1188356931753735,566.6552656475617,5.0,4,True,False,,True,4,False
post_drop_rebound,47,-3.5,3.5,6,1460,-1.9811780357244804,-0.0750295422367177,-0.0031478502792972,0.0,0.0,2,-0.0031478502792972,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
