strategy,trial_id,p_vol_lookback_bars,p_volume_mult,p_entry_window_start_bar,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
volume_surge,52,5,2.0,50,270,5.0,-1.0,-1.3705170884544882,-0.6287152366074549,-0.5948701395894418,0.6822259808730095,0.1774521774521774,4914,-0.5730798373812077,-1.864042651790091,-1.0917321004928924,-0.5328079378138162,0.4724700865823875,0.1504879301489471,1947,-0.5286104902768585,,973.5,2,False,False,,False,2,False
volume_surge,53,10,2.0,45,90,2.0,-2.75,-1.238007840391557,-0.2141544442942699,-0.3313603160311281,0.8518788949561099,0.5955536554082942,2339,-0.2336404294165618,-2.7130480382474835,-0.6396506434171433,-0.3386387137705224,0.5303891262147564,0.5045278137128072,773,-0.315121001877312,,386.5,3,False,False,,False,3,False
volume_surge,54,25,2.5,55,150,4.0,-2.75,0.6424926477206144,0.0407412590276334,-0.1546934413271904,1.0418721980462635,0.4640522875816993,1836,0.0489120440148584,-2.412761791267079,-0.6667524906217228,-0.3907411082782505,0.4897920946471681,0.3661538461538461,650,-0.3503745618365976,-3.755314243403233,325.0,3,False,False,,False,3,False
volume_surge,55,25,3.5,50,330,1.0,-2.75,-1.4263743363572186,-0.5686604108925662,-0.5509198190722462,0.6493480466487873,0.6886530199646197,3957,-0.5400231521694254,-2.577423829826769,-0.5846242155007412,-0.3644715719372408,0.5892371561648464,0.6627450980392157,1275,-0.3447499367189606,,637.5,3,False,False,,False,3,False
volume_surge,56,20,7.0,50,330,5.0,-1.75,-0.6740691403477617,-0.0487988920762288,-0.2214491532744613,0.9551686272112476,0.3178621659634318,1422,-0.0782423622892901,-2.4246400103167813,-0.1106878906653649,-0.2057400672362235,0.8437747623720525,0.2708333333333333,384,-0.0989319007940146,,192.0,2,False,False,,False,2,False
volume_surge,57,15,3.5,55,210,2.5,-2.0,-1.520889200491547,-0.3475688158918373,-0.4040878180900562,0.7690507876169842,0.4513725490196078,2550,-0.3815165327598452,-2.7062214195094088,-0.6171119238142071,-0.3361658273802581,0.5657956537473858,0.4035812672176309,726,-0.304181558160432,,363.0,3,False,False,,False,3,False
volume_surge,58,20,3.0,55,360,3.0,-1.25,-1.370296288658834,-0.6791767624951923,-0.6249971766711596,0.6841362891006,0.2997370727432077,4564,-0.6240025796465539,-2.215371936538664,-0.7316671466973115,-0.4405328277613554,0.5975900616097259,0.2853519340519975,1577,-0.4299688413825467,,788.5,2,False,False,,False,2,False
volume_surge,59,15,8.0,10,60,4.5,-2.75,0.8281467977366452,0.0305458481534396,-0.0988543665167385,1.0823937788069395,0.474025974025974,154,0.0404526734030665,-1.3929954636905648,-0.0480766268203184,-0.0834278977699831,0.8490219443619292,0.4,25,-0.0184567622419448,-1.6820634548097888,12.5,3,False,False,,False,3,False
volume_surge,60,5,6.0,20,300,3.0,-2.5,-0.870118782681624,-0.0877485614131939,-0.2572765361544524,0.9339694808604588,0.4992117708880714,1903,-0.1198980888307074,-2.296486719613982,-0.0989452717889251,-0.1668232997463885,0.9012962714240692,0.4565217391304347,552,-0.0702527040555709,,276.0,3,False,False,,False,3,False
volume_surge,61,15,2.5,20,210,3.0,-2.5,-1.30277599469475,-0.225149453910323,-0.3262583433790279,0.8605413065883298,0.4808087731322824,2918,-0.2434033542297987,-2.559032419792408,-0.5690401596842567,-0.3529251311059001,0.6313489958294808,0.4293785310734463,1062,-0.2967457112653169,,531.0,3,False,False,,False,3,False
volume_surge,62,20,6.0,60,180,5.0,-3.0,2.837772200612297,0.1337079175444439,-0.1783880447102913,1.2029332905039916,0.4656212303980699,829,0.2292799120757587,-2.256528382489352,-0.1228072725358898,-0.1867032762679546,0.8317070407497961,0.3761467889908257,218,-0.0791702269633358,-0.7951760123671898,109.0,3,False,False,,False,3,False
volume_surge,63,30,6.0,25,360,1.5,-2.5,-1.5024170109574424,-0.2984407442946249,-0.3970874010843429,0.7845699070928748,0.613154478580701,2311,-0.3671389573029862,-2.4648426355251365,-0.197345640749261,-0.2783917424408313,0.7999631040957362,0.5803981623277182,653,-0.1603463835972526,,326.5,3,False,False,,False,3,False
