strategy,trial_id,p_rsi_period,p_oversold_threshold,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
rsi_oversold,33,11,25.0,300,3.25,-1.5,-1.359073044784477,-0.5729990087190564,-0.5644066387222058,0.7260794099302267,0.3156203657933761,4046,-0.5201540373907161,-1.8795833469576804,-1.1044871838299914,-0.5278424494922725,0.5054335833682283,0.2644715878916622,1883,-0.5182993050538605,,941.5,2,False,False,,False,2,False
rsi_oversold,34,13,35.0,150,3.75,-2.0,-1.318767617391616,-0.2832320186164737,-0.3710122586614183,0.8355389265121084,0.3775316455696202,3160,-0.2872554960119489,-2.209061034038387,-0.913684995619406,-0.4406294089578622,0.5135158273084708,0.2890961262553802,1394,-0.4211872106109643,,697.0,2,False,False,,False,2,False
rsi_oversold,35,19,27.5,270,3.0,-1.25,-1.2833481131937827,-0.716974325228741,-0.6733610377729703,0.6246150660077309,0.2878217200251098,3186,-0.6343387662045646,-1.8222015760426,-1.1953135303674176,-0.5453629338062689,0.4301959374332468,0.2486772486772486,1512,-0.5349332764317849,,756.0,2,False,False,,False,2,False
rsi_oversold,36,9,22.5,150,1.25,-1.75,-1.222703516622086,-1.1610238998544953,-0.771780930000367,0.5043885537526753,0.5194650107475519,4187,-0.7653318059988322,-1.696674312627528,-1.606477344142702,-0.5877072255994271,0.3450917935577764,0.4340298507462686,1675,-0.5867066888624095,,837.5,3,False,False,,False,3,False
rsi_oversold,37,7,35.0,150,3.25,-2.25,-1.3158422168850077,-0.3368401270728207,-0.4186757713111335,0.8233037876001436,0.4227709190672153,3645,-0.3319846358901068,-2.183256001354104,-0.835630436075298,-0.4443806373348478,0.5362039864365651,0.3355176933158584,1526,-0.4112529195948474,,763.0,2,False,False,,False,2,False
rsi_oversold,38,7,17.5,360,1.0,-2.25,-1.245423303970388,-1.052341447560215,-0.7514240705991297,0.5426560442393895,0.6204732879168161,5578,-0.7494493566505797,-1.698282481721026,-0.950320733508804,-0.5871629607082361,0.4905305436218136,0.5674269707883153,2499,-0.5871629607082361,,1249.5,3,False,False,,False,3,False
rsi_oversold,39,9,15.0,210,1.25,-1.0,-1.0814244643101276,-1.6935742092093045,-0.9179689203770016,0.3571839832042666,0.3352701917489831,3442,-0.9162931582166264,-1.4495160915433511,-1.9759389485517995,-0.6895906246886941,0.3005033469667066,0.3176320814767664,1571,-0.6895906246886943,,785.5,2,False,False,,False,2,False
rsi_oversold,40,13,25.0,360,2.75,-2.25,-1.2939613006345323,-0.29562297176293,-0.4140017515190159,0.842726259392175,0.4624727499221426,3211,-0.3206774109017959,-2.2282663489570416,-0.5818339035317474,-0.4328678454474516,0.6371895084357365,0.3973941368078176,1535,-0.3956328585744605,,767.5,3,False,False,,False,3,False
rsi_oversold,41,11,32.5,150,4.0,-1.25,-1.3407747783297714,-0.6582232000286048,-0.6034479233414415,0.6803372638502326,0.2426214269114571,4303,-0.5659267156413488,-1.7804116242101062,-1.358854502647269,-0.5590499322047139,0.403498468330442,0.1841116478797638,1863,-0.5549370084367572,,931.5,2,False,False,,False,2,False
rsi_oversold,42,19,22.5,90,1.25,-1.5,-1.3702082650914098,-0.6197625148430289,-0.576906204830656,0.486358211464406,0.5005382131324004,929,-0.5450983947549124,-2.8615989072776165,-0.8327001843236908,-0.3194207299245683,0.4090530853883921,0.4680851063829787,376,-0.3093023334509922,,188.0,3,False,False,,False,3,False
