strategy,trial_id,p_ema_period,p_pullback_lookback_bars,p_proximity_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
intraday_pullback,67,40,7,0.1,60,2.25,-2.5,-1.421144493200226,-0.4646959658134422,-0.5040702653633757,0.7602069855302157,0.5267045454545455,3520,-0.4700745940402802,-2.487295061699167,-0.8406125815098954,-0.3853301963871319,0.5499599325085772,0.4445288753799392,1316,-0.3809567914067355,,658.0,3,False,False,,False,3,False
intraday_pullback,68,35,7,0.5,270,3.0,-1.5,-1.3284591878213738,-0.7995178115087592,-0.6485279356809045,0.7223171026012943,0.3347529812606473,7044,-0.6308098167602245,-1.549379679787508,-1.6744080671022294,-0.6447062930106802,0.4561662679469113,0.2656397359320968,3181,-0.6417651038296895,,1590.5,2,False,False,,False,2,False
intraday_pullback,69,30,3,0.3,90,3.75,-2.5,-1.2578999561299011,-0.2298446711031076,-0.3592217148613439,0.8692830545161382,0.4341846758349705,3054,-0.2614028719467303,-2.322286237175686,-0.8359836183964404,-0.415276679740136,0.5437317220692763,0.3469899665551839,1196,-0.3952389309013338,,598.0,2,False,False,,False,2,False
intraday_pullback,70,30,3,1.1,330,3.0,-2.5,-1.4777596436369984,-0.2630470665674974,-0.3134746503245432,0.8882384875834137,0.4790658531453818,4753,-0.2691677650337976,-2.13483536535446,-0.7071447464432894,-0.4570902019057714,0.6451348373816562,0.4001831501831502,2184,-0.4294992124876651,,1092.0,3,False,False,,False,3,False
intraday_pullback,71,25,5,0.1,180,2.25,-3.0,-1.388985151629569,-0.319029903114733,-0.3740376832032727,0.8527268579772368,0.5859269282814614,4434,-0.3088558461137932,-2.095181685450247,-1.0089759477955869,-0.4683164256742004,0.5511306342338381,0.4928352098259979,1954,-0.4508056070700977,,977.0,3,False,False,,False,3,False
intraday_pullback,72,20,6,0.7000000000000001,360,1.25,-1.75,-1.1209110607835633,-1.7249689004235234,-0.878415620382846,0.5707058797335891,0.5263539068158043,12427,-0.8780445505401961,-1.3111008014085404,-1.9035131854295235,-0.7626602377263456,0.4593386956310407,0.4721638655462185,5712,-0.7609631297173561,,2856.0,3,False,False,,False,3,False
intraday_pullback,73,40,11,1.3,330,3.75,-2.5,-1.0564051424887129,-0.158108586518913,-0.2986835412279591,0.9272259968164204,0.4378524148075509,4079,-0.1739171834700433,-2.3943101551780144,-0.5732234570649792,-0.3959284829605832,0.6875720741984205,0.3523523523523523,1998,-0.359657695662305,,999.0,3,False,False,,False,3,False
intraday_pullback,74,15,5,0.5,240,1.0,-2.5,-1.178188153955274,-1.4625156989743304,-0.8204216669432983,0.5585303006001613,0.6554046942427113,9501,-0.8197221357031604,-1.4501138344206002,-1.977918565245683,-0.6892862890496507,0.4010574795880011,0.5963346997829756,4147,-0.6864889290067173,,2073.5,3,False,False,,False,3,False
intraday_pullback,75,35,8,1.3,360,3.75,-2.25,-1.365862684057199,-0.2589030647922999,-0.3447180354856097,0.8864355919443572,0.4077669902912621,4532,-0.2743993543550108,-1.968525533607074,-0.8643265233951305,-0.5005875150977626,0.6049597406391919,0.3182601205857019,2322,-0.4714215979213005,,1161.0,2,False,False,,False,2,False
intraday_pullback,76,20,5,0.3,240,1.0,-1.25,-1.022229782781596,-2.9182968592561185,-0.9777365018057972,0.4023786636286005,0.4611485313519894,14401,-0.9776862908674472,-1.1259102417416484,-3.457590880468085,-0.8881698049558534,0.3062865254838198,0.4146747352496218,6610,-0.8871665944691766,,3305.0,3,False,False,,False,3,False
