strategy,trial_id,p_opening_window_min,p_breakout_buffer_pct,p_entry_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
orb,50,55,0.45,150,2.5,-1.0,-1.3681842032714546,-0.44775539058770414,-0.6283627108910577,0.6077776856508836,0.2829581993569132,1244,-0.6283627108910577,-2.4419022520073974,-0.9681849795746411,-0.393126562161712,0.38501479383770165,0.21354166666666666,384,-0.38448624735639714,,192.0,2,False,False,
orb,51,45,0.30000000000000004,90,1.5,-4.0,-1.0821001314548335,-0.07090100805006573,-0.20484253929181545,0.9009094729233103,0.7378768020969856,763,-0.11864115283853305,-3.7516268202686343,-0.39449917621860975,-0.20656047857848464,0.5527891912201163,0.6721311475409836,244,-0.20139627931481663,,122.0,3,False,False,
orb,52,60,0.30000000000000004,120,4.0,-2.5,7.776872453252378,0.18854790313197445,-0.12119751104430725,1.3187883389223873,0.48757763975155277,644,0.39742670484325915,-2.9558821807675386,-0.6086397023038269,-0.3033161716257743,0.41592094144816033,0.32038834951456313,206,-0.28974068867613634,-0.3800862362775867,103.0,2,False,False,
orb,53,45,0.0,210,1.5,-4.0,-0.9236132772710551,-0.09185734026962315,-0.28077415907606246,0.9138768633132666,0.7379778051787916,1622,-0.14040084858677115,-2.9426378241892253,-0.41839655861466607,-0.281068728104205,0.611186521192154,0.6705882352941176,510,-0.2325137829578321,,255.0,3,False,False,
orb,54,40,0.25,240,1.5,-3.5,-1.438028403877438,-0.18269892939435572,-0.3279883714595647,0.8372869254841683,0.7029026750142288,1757,-0.2749656091321382,-2.817097355645524,-0.545453432580758,-0.31888776494005966,0.5555887308317341,0.6223908918406073,527,-0.29158800560098064,,263.5,3,False,False,
orb,55,25,0.15000000000000002,180,4.5,-3.5,3.655385796307806,0.19381343405810167,-0.2172140772959712,1.2199419508941043,0.5319672131147541,1220,0.3425133224176493,-2.5077589396566076,-0.4481419161401078,-0.3495117662929379,0.5713582012425229,0.4021164021164021,378,-0.27048574815716875,-0.6860449428319217,189.0,3,False,False,
orb,56,40,0.1,120,4.5,-3.5,3.754893466163732,0.16616724129723098,-0.17626281482999062,1.227934254229075,0.5409457900807382,867,0.2917278517097055,-2.719504639916921,-0.27980895310654375,-0.25926400541824696,0.6807698505219998,0.42700729927007297,274,-0.16816525044983865,-0.7242561378699677,137.0,3,False,False,
orb,57,15,0.35000000000000003,240,5.0,-4.0,3.199258420075061,0.16612436161152347,-0.18938438624086326,1.1807685918020425,0.5433715220949263,1222,0.26962122398000066,-2.3654680117487654,-0.5116555398623988,-0.38298359997401205,0.5348247141445928,0.38927738927738925,429,-0.29983700658578005,-0.7393801003712813,214.5,3,False,False,
orb,58,10,0.5,180,1.0,-4.0,-1.4071857100298926,-0.41358525013697445,-0.5186821514702699,0.7174936266256149,0.7706422018348624,2834,-0.4829638222761652,-1.9911533966038897,-0.911082664030584,-0.4954006431554244,0.40139582351131553,0.6908690869086909,909,-0.4770507583467556,,454.5,3,False,False,
orb,59,25,0.1,150,4.5,-2.5,0.3780809369173238,0.03166937363978191,-0.24407039541812717,1.0351925982923458,0.42689199118295373,1361,0.04548734891193629,-2.5534243590796897,-0.5025031595701234,-0.3482150823569876,0.5553595025379502,0.31435643564356436,404,-0.2822757833544811,-6.753644814517732,202.0,2,False,False,
orb,60,25,0.30000000000000004,60,2.0,-2.5,-1.514900189937293,-0.3102959479691645,-0.4362374121321905,0.7133594685016966,0.5486033519553073,895,-0.4201329589577987,-2.873273839575632,-0.4006354170899476,-0.2784403116591418,0.5669580545730735,0.5040983606557377,244,-0.21550855221224363,,122.0,3,False,False,
orb,61,10,0.30000000000000004,120,4.5,-3.0,4.28909882527288,0.1915150680899629,-0.17861785701625182,1.1991651095041673,0.48692579505300354,1415,0.33195348785963463,-2.324700746611529,-0.669403550760688,-0.41118331361408517,0.47258867833520635,0.3394308943089431,492,-0.3753706653290937,-0.5420021410823117,246.0,2,False,False,
orb,62,40,0.4,210,4.5,-3.5,3.3429911031932478,0.15062830289493184,-0.18794651869339332,1.204978358658258,0.5292864749733759,939,0.2785211101353262,-2.6138436111024284,-0.25791650738492955,-0.25423537564236126,0.7269925716330788,0.40540540540540543,296,-0.1518526827006973,-0.7818876959037274,148.0,3,False,False,
orb,63,25,0.2,90,1.0,-2.0,-1.2128592235315168,-0.7955589563672302,-0.7851459825790872,0.4665180294092846,0.6019926586261143,1907,-0.784153141106648,-2.110569827092517,-1.0559910335826437,-0.46635625243540607,0.3122630862834737,0.5485714285714286,525,-0.4653775658661561,,262.5,3,False,False,
orb,64,50,0.0,210,3.5,-4.0,3.820663541603245,0.1776025716098939,-0.18304265625927468,1.2309324226290173,0.6092843326885881,1034,0.30633486471105065,-2.400817848956477,-0.18677678041968576,-0.24678179425175514,0.785882427830849,0.5182926829268293,328,-0.1265999086563443,-0.6283771975244474,164.0,3,False,False,
orb,65,10,0.45,150,5.0,-1.0,-1.3980009190709386,-0.38599867097289575,-0.5730743932096616,0.7319201188005303,0.19118835893290217,2474,-0.5569326151922446,-1.8704643977581372,-0.9780452568196973,-0.529946957257552,0.4254611580577566,0.13341645885286782,802,-0.5105695820946738,,401.0,2,False,False,
orb,66,50,0.1,60,5.0,-4.0,2.304692247916056,0.09466642877212281,-0.14426116257041932,1.2081951317415673,0.5418181818181819,275,0.15564551428012097,-2.4322697612815887,-0.10180390577282715,-0.13768644846149386,0.8059563594733576,0.4457831325301205,83,-0.05964161099118215,-1.0553555527775522,41.5,4,False,False,
orb,67,20,0.05,180,1.5,-1.5,-1.1748115791803608,-0.8875730773208386,-0.8241471727868341,0.5614753910015841,0.456002331002331,3432,-0.824147172786834,-1.6216641961450138,-1.5489562750909196,-0.6155451225963472,0.3228288011448464,0.38393731635651324,1021,-0.6146640076299597,,510.5,3,False,False,
orb,68,25,0.30000000000000004,60,2.5,-2.0,-1.5124311895831635,-0.295382629705836,-0.42599351476407,0.7219621324744426,0.4413793103448276,870,-0.4060235743298194,-3.0107247834868347,-0.4693670885450252,-0.28070909803980754,0.5438851237393014,0.42276422764227645,246,-0.24517044401288923,,123.0,3,False,False,
orb,69,55,0.0,180,1.5,-2.5,-1.4446429797596672,-0.2694709329447115,-0.44057076147703533,0.7500267964913709,0.6066536203522505,1533,-0.39947959196093186,-2.72671375098279,-0.6705018595322454,-0.3341463371616186,0.49229316363964154,0.5373134328358209,469,-0.30579892205053527,,234.5,3,False,False,
orb,70,60,0.45,180,5.0,-3.0,3.862092123475437,0.11273229990570346,-0.1454131002328178,1.1753013402122086,0.4783861671469741,694,0.25185164560324735,-2.6355214957863597,-0.28005047897852775,-0.2663936120096607,0.6735196523373271,0.3273542600896861,223,-0.16690173736958747,-0.6824077239811397,111.5,2,False,False,
orb,71,30,0.15000000000000002,210,3.5,-3.5,2.037803194672893,0.13218649287202866,-0.24312979113271277,1.1501346457339925,0.56972408650261,1341,0.22484063269890808,-2.7619759576695335,-0.3810874122866287,-0.2879070920368279,0.6506227657560976,0.47761194029850745,402,-0.21267264962004195,-1.3553693334516947,201.0,3,False,False,
orb,72,30,0.30000000000000004,90,3.0,-2.5,-0.6384051837864778,-0.04650720014359385,-0.24981869129757453,0.9495807262290837,0.5050505050505051,990,-0.08383611314550488,-2.8532119226792725,-0.6611227250562901,-0.3199928267822793,0.43008418037726603,0.3607142857142857,280,-0.3080404545938631,,140.0,3,False,False,
orb,73,35,0.05,60,4.5,-2.0,-0.4628502633443071,-0.036981723237492894,-0.2668480638995641,0.9514144940510918,0.38006230529595014,642,-0.06427956462006335,-2.7235940214348533,-0.21905839726375562,-0.2132609427060226,0.7067416724829704,0.29533678756476683,193,-0.12288231937985539,,96.5,2,False,False,
orb,74,55,0.05,60,5.0,-3.5,5.355117902087496,0.1807553502297946,-0.1320474521840138,1.5315973780960506,0.5925925925925926,189,0.3093475755588164,2.500666768093716,0.056684107541020594,-0.07812062707645899,1.1371814141788297,0.4852941176470588,68,0.02727322138643018,0.46696763989433787,34.0,4,False,False,
orb,75,50,0.2,90,3.5,-4.0,2.8237024753644873,0.1269227161723411,-0.16958104705712326,1.2140603454771688,0.6084656084656085,567,0.21796788029005998,-2.996789919815062,-0.39962335465800675,-0.2656413046183689,0.5333519170309015,0.4722222222222222,180,-0.21318295999422865,-1.0612980460798132,90.0,3,False,False,
orb,76,25,0.25,120,2.0,-2.5,-1.4419718771900611,-0.2648448592275124,-0.432342306594561,0.7920674970624945,0.5623062616243025,1613,-0.3887169504123231,-2.5190675830474043,-0.6479407669867411,-0.37210649369195825,0.487897343461053,0.4819532908704883,471,-0.3414762947168072,,235.5,3,False,False,
orb,77,50,0.2,180,5.0,-4.0,6.217547065957945,0.24064024916508925,-0.17941600993543722,1.3972986586831624,0.5750636132315522,786,0.45881654473810607,-2.292905255547926,-0.19006577157850557,-0.2559904698786073,0.7607078944092268,0.4497991967871486,249,-0.1248273272199395,-0.3687797183075534,124.5,3,False,False,
orb,78,60,0.4,120,1.5,-3.5,0.6265173048707573,0.02286662145632532,-0.1097278827695778,1.0420806838010792,0.7307692307692307,754,0.034074712656952943,-3.6154589678597286,-0.41274208156861225,-0.21211150805882714,0.5392541973469424,0.631578947368421,247,-0.19714913130382095,-5.770724830346949,123.5,3,False,False,
orb,79,30,0.05,60,5.0,-3.5,1.6471309404550114,0.10380052031994737,-0.23095727886518708,1.1628888534694113,0.513909224011713,683,0.1764154700380265,-2.6594904186582697,-0.1882263195913539,-0.2001797064963617,0.7481013037892685,0.4215686274509804,204,-0.10829227175505696,-1.614619914749218,102.0,3,False,False,
orb,80,30,0.2,180,2.5,-1.5,-1.3392364568242794,-0.4954093785278701,-0.6474001257329103,0.6823955880564262,0.36757775683317623,2122,-0.6382462180589256,-2.341818474914084,-0.8480438313418468,-0.41307038696155784,0.471491946552445,0.31918505942275044,589,-0.4030590554671507,,294.5,2,False,False,
