strategy,trial_id,p_gap_threshold_pct,p_reversal_threshold_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
gap_down_reversal,36,-1.0,2.4,30,3.0,-3.5,0.1429326583699972,0.011443012187035705,-0.17640259910684375,1.0194914591548476,0.5702247191011236,356,0.01262842293008859,-3.079131958513114,-0.4654393826368951,-0.27723971443695256,0.4868549388940545,0.4251207729468599,207,-0.2515839503314382,-21.542536139938264,103.5,3,False,False,
gap_down_reversal,37,-4.5,1.8,30,6.0,-3.5,11.36055859726355,0.16737737344035786,-0.08524053753675107,1.8314576509475062,0.5569620253164557,79,0.40676509622442003,-2.8640941897939483,-0.1398009394386183,-0.13584583604012196,0.7164725461373644,0.2976190476190476,84,-0.07161459398372305,-0.25210857065460063,42.0,3,False,False,
gap_down_reversal,38,-3.5,0.3,30,1.5,-3.5,-0.6263794489253246,-0.047296073790688266,-0.2365510009547111,0.9006393281676957,0.7159090909090909,264,-0.0776411649161044,-3.481076143055833,-0.2217006204370599,-0.14235228985191328,0.7388628577689987,0.6633333333333333,300,-0.09803794468786542,,150.0,4,False,False,
gap_down_reversal,39,-4.5,0.3,120,4.0,-4.5,12.274337362318699,0.1395293945961961,-0.06522041319298354,1.4342340333362886,0.6575342465753424,146,0.3449761042381614,-1.4351333160304633,-0.044601045389270524,-0.12016543898653018,0.9161499673935373,0.5352112676056338,142,-0.028140190133713827,-0.11692144949805729,71.0,4,False,False,
gap_down_reversal,40,-1.0,1.2,60,5.0,-3.5,0.5406309289218049,0.03012078250053802,-0.1730067320360616,1.0419758583213323,0.4829192546583851,644,0.04609228597639192,-2.418229719930064,-0.2527453839590455,-0.27905816776406106,0.6998148711173712,0.36774193548387096,310,-0.15582981319114075,-4.472977017339364,155.0,3,False,False,
gap_down_reversal,41,-1.0,0.8999999999999999,105,6.0,-1.5,-1.1352170475613317,-0.0964403320989569,-0.2916948412353433,0.8867661934119359,0.26517273576097106,1071,-0.18346370475634588,-2.8201403688376994,-0.47760209258552705,-0.3076964190628913,0.5640015943675609,0.1812191103789127,607,-0.26292193556343824,,303.5,2,False,False,
gap_down_reversal,42,-3.5,2.4,120,4.5,-3.5,5.40525630744323,0.12226941751129537,-0.1279823073254404,1.3143405199892408,0.5408163265306123,196,0.30339996247095735,-2.82920934412611,-0.19577910212253385,-0.2002064046562422,0.7203967154819625,0.3891891891891892,185,-0.1184002361671872,-0.5234181661709896,92.5,3,False,False,
gap_down_reversal,43,-4.5,0.6,105,4.5,-2.5,8.836669682615781,0.15681950989519888,-0.09912885624217657,1.4587336861457263,0.51875,160,0.3730838298856918,-1.257063983126009,-0.04354934766876138,-0.12486933693419891,0.9292193707293416,0.3502824858757062,177,-0.025419545738600835,-0.14225540031206643,88.5,4,False,False,
gap_down_reversal,44,-2.0,2.0999999999999996,75,1.5,-4.5,-1.122994444030049,-0.13731295441820607,-0.3889084518194096,0.7896129813713644,0.7294589178356713,499,-0.25120244785164547,-3.082210789739579,-0.4241238012631498,-0.2638191883621552,0.5386627873536276,0.6517857142857143,336,-0.22348997872134402,,168.0,3,False,False,
gap_down_reversal,45,-5.0,2.0999999999999996,105,4.0,-4.5,3.220328098896371,0.07750534149266947,-0.11047391850531549,1.2465768652529068,0.6371681415929203,113,0.16577921715129795,-2.9596474782711195,-0.14358236749594006,-0.14946392708342976,0.7210918005405038,0.4380952380952381,105,-0.08430315351361595,-0.919051533688574,52.5,4,False,False,
gap_down_reversal,46,-3.5,1.2,45,5.5,-1.5,2.197437266732823,0.10082773042861161,-0.22742184188812306,1.280059212050797,0.3333333333333333,234,0.22661205015739938,-2.630237257301995,-0.20971546388027704,-0.20270760054350725,0.7243311701790124,0.2157676348547718,241,-0.1085204815572024,-1.1969566991155405,120.5,2,False,False,
gap_down_reversal,47,-4.0,2.0999999999999996,45,3.5,-1.5,0.8383877044319242,0.0441027445209976,-0.17447377250926074,1.1147383131929351,0.42528735632183906,174,0.07122327800120698,-3.497515282186412,-0.4193677598116697,-0.20405893359212857,0.48422961312981977,0.23595505617977527,178,-0.17188189018468736,-4.171715858543348,89.0,2,False,False,
gap_down_reversal,48,-3.5,0.6,75,5.5,-4.5,7.4877034865933405,0.17219292953182241,-0.13847543452606084,1.5519348427180135,0.5561797752808989,178,0.4312218172820663,-0.05627590737201368,0.0036745052769589248,-0.11195929548785992,1.0023288030582695,0.480225988700565,177,-0.0009526437850309044,-0.007515776696122534,88.5,4,False,False,
gap_down_reversal,49,-5.0,2.6999999999999997,120,1.5,-4.5,-1.1329293155249895,-0.059805935584908126,-0.18279082955252654,0.8473213016636224,0.7591623036649214,191,-0.11036411270285729,-3.364025879236605,-0.2794667975065938,-0.18141123334913503,0.5850484991506544,0.6028368794326241,141,-0.13246014630088543,,70.5,3,False,False,
gap_down_reversal,50,-3.5,0.8999999999999999,75,5.0,-1.5,0.17281818412706484,0.016965197602079977,-0.29635059622243265,1.0333464019255099,0.30847457627118646,295,0.02549088548691092,-2.529980540087425,-0.19885907983265605,-0.19771532624865865,0.7618249300219943,0.22297297297297297,296,-0.09930386298192606,-14.639550536112871,148.0,2,False,False,
gap_down_reversal,51,-3.5,2.0999999999999996,30,2.5,-2.0,0.48279014511504775,0.022953491469850002,-0.11937597585933707,1.0588534795043842,0.5235294117647059,170,0.028641819720046646,-3.648705602037306,-0.32722580873954893,-0.16662548608059455,0.5721790124226609,0.40993788819875776,161,-0.13168845275525898,-7.557539520960661,80.5,3,False,False,
gap_down_reversal,52,-5.0,2.0999999999999996,60,5.0,-3.0,7.036000574605925,0.16407462118083405,-0.11965261552613074,1.7318322133527577,0.5666666666666667,90,0.3604506730066681,-3.0112893789912976,-0.308542167508881,-0.21768029315785525,0.49604667586441564,0.2717391304347826,92,-0.14844758184993834,-0.4279831058939268,46.0,2,False,False,
gap_down_reversal,53,-2.0,2.6999999999999997,105,5.0,-4.0,0.9858277273423969,0.044987886723781303,-0.1879955416332076,1.0873243141626237,0.4769736842105263,304,0.0894639796032517,-3.059415997537638,-0.27796809150633683,-0.2421406724589555,0.6505358619770125,0.38207547169811323,212,-0.18421147025095075,-3.103398203036182,106.0,3,False,False,
gap_down_reversal,54,-3.5,1.5,45,1.5,-5.0,0.20312147696795843,0.016391772172299708,-0.19985909132732618,1.0439208883234385,0.7782258064516129,248,0.020257010061946135,-3.6991359129193664,-0.19853780224183493,-0.13052289434631992,0.7169290783067056,0.702928870292887,239,-0.09464533039119849,-18.211446510419425,119.5,4,False,False,
gap_down_reversal,55,-2.5,0.3,30,6.0,-1.5,0.21242383972202694,0.01874304922002638,-0.2734517310874199,1.0348715662874954,0.2762836185819071,409,0.028864385519296265,-2.9919629942801396,-0.3034555874359009,-0.22927343308317658,0.6241042137207051,0.1901840490797546,326,-0.16025998027770594,-14.084873892663625,163.0,2,False,False,
gap_down_reversal,56,-1.0,2.6999999999999997,45,1.5,-4.5,-1.5928889689306394,-0.18607828805822293,-0.3272120017518623,0.729398321895772,0.7137096774193549,496,-0.3100745296716112,-3.3493293428785997,-0.37567007524459683,-0.23001325201260847,0.552889649959742,0.6352941176470588,255,-0.19898355678407442,,127.5,3,False,False,
gap_down_reversal,57,-4.0,0.6,90,2.0,-3.5,0.5701709011514472,0.039108646841125944,-0.23403972786365454,1.0899541353491218,0.6992481203007519,266,0.06516195248118417,-2.7905600415499165,-0.09166391108599735,-0.09119098163796045,0.8848283470631315,0.5985130111524164,269,-0.04331666890999697,-4.894251944310809,134.5,4,False,False,
gap_down_reversal,58,-2.0,0.6,90,3.0,-5.0,4.940292978878283,0.14688139191443358,-0.1429034943429423,1.2503397517459622,0.6828793774319066,514,0.3089050922857217,-3.3566421608423727,-0.32846474701231526,-0.2211682474653089,0.6340014294420506,0.5542857142857143,350,-0.1849602639737321,-0.679441922815783,175.0,3,False,False,
gap_down_reversal,59,-4.5,2.0999999999999996,105,6.0,-2.5,1.61409171630878,0.05745214212853773,-0.1591767276742729,1.1810578784207513,0.4224137931034483,116,0.12214482974800744,-3.0267830517801695,-0.19618851644022198,-0.1826677000579671,0.675791155710697,0.23357664233576642,137,-0.11430559094971748,-1.8752237070530495,68.5,2,False,False,
gap_down_reversal,60,-3.0,1.2,105,4.0,-3.5,1.0058341509348687,0.04391666855240081,-0.18555254794334947,1.0853572719029252,0.5328947368421053,304,0.09006777923406273,-2.9632710100468116,-0.24637271714868864,-0.21734917430023076,0.6934866040766493,0.4254545454545455,275,-0.14424461644390563,-2.946083116478607,137.5,3,False,False,
gap_down_reversal,61,-3.0,2.0999999999999996,45,3.5,-1.5,-0.4260677344378475,-0.027333574588200224,-0.26522018199205766,0.944661112636885,0.3815261044176707,249,-0.058642205772221345,-3.258921626710804,-0.4247849738917709,-0.2333329824008646,0.533978561525301,0.2608695652173913,230,-0.19382978000462037,,115.0,2,False,False,
gap_down_reversal,62,-2.5,0.6,30,5.0,-4.5,5.12800197485209,0.16849216021096125,-0.1614343077515234,1.41312138675437,0.5687732342007435,269,0.3552143161779757,-2.1536381724208615,-0.1000229745373535,-0.16302821053230868,0.8429566258233343,0.47058823529411764,221,-0.0631345576919281,-0.41997608093413036,110.5,3,False,False,
gap_down_reversal,63,-4.5,2.6999999999999997,45,5.5,-3.0,1.6293668882782835,0.06875755551436187,-0.15423241262596968,1.2622627917769,0.4810126582278481,79,0.11961133003916391,-3.002128953768198,-0.19610233468333418,-0.1621797072415084,0.6230172340314389,0.25675675675675674,74,-0.0957213120320074,-1.8425125583228725,37.0,2,False,False,
gap_down_reversal,64,-4.0,1.8,30,3.0,-2.5,4.874398165236712,0.10893815645001302,-0.08170548186008429,1.3377985514084216,0.5886524822695035,141,0.18405666699104306,-3.4923013380056243,-0.30041160822210233,-0.16636169273376397,0.5866424972067489,0.3851851851851852,135,-0.12292932126791378,-0.7164579543197884,67.5,3,False,False,
gap_down_reversal,65,-3.0,0.8999999999999999,75,5.5,-3.0,6.285074332392744,0.17153404577295933,-0.17135186952531145,1.4933423085985458,0.46774193548387094,248,0.4453519786367146,-2.5589051847406843,-0.1387553766544199,-0.1631496915237267,0.8028671492850535,0.3389121338912134,239,-0.07825699879696824,-0.4071400033492527,119.5,2,False,False,
gap_down_reversal,66,-1.0,0.3,105,5.5,-3.0,2.630169445919072,0.08037943296023291,-0.11421522697845833,1.1042098323134975,0.44746600741656367,809,0.14154247536737197,-2.653788067055138,-0.26950579523507956,-0.24650163775040557,0.7158310285881547,0.32657657657657657,444,-0.14795070114686537,-1.008979885753259,222.0,2,False,False,
gap_down_reversal,67,-4.5,0.8999999999999999,60,2.0,-4.5,2.4030487627754815,0.08404414485742102,-0.1226753197158907,1.2588507497583694,0.7716049382716049,162,0.13905766522175367,-0.7571261830928653,-0.019665490196061047,-0.09705413241031739,0.9642407271690548,0.6666666666666666,165,-0.011442906451012091,-0.3150690051825653,82.5,4,False,False,
gap_down_reversal,68,-1.0,0.8999999999999999,60,3.5,-3.5,-0.30990363811362565,-0.01570945190061948,-0.2282688094466095,0.9829154777565379,0.5495608531994981,797,-0.0362999803475651,-2.8457996822456226,-0.39050961636955067,-0.27540202500203015,0.6046325419499214,0.44587628865979384,388,-0.2061856648184146,,194.0,3,False,False,
gap_down_reversal,69,-2.5,1.2,105,3.5,-1.5,-1.2512217263186158,-0.22409817306282562,-0.49582424179905843,0.7395554873436354,0.31781701444622795,623,-0.3862354557343908,-2.848483232245831,-0.3671198539860782,-0.26521888822210093,0.6685094601034443,0.2722117202268431,529,-0.19134373643783686,,264.5,2,False,False,
gap_down_reversal,70,-3.0,0.3,30,4.5,-3.0,3.2010417668801803,0.1348003114694534,-0.20209176751722754,1.3622273963600433,0.49130434782608695,230,0.28586081523843787,-1.4584247814592626,-0.05206316265524753,-0.13354829605887647,0.9212892038572288,0.4188034188034188,234,-0.03213827958715498,-0.45560941957988943,117.0,4,False,False,
