strategy,trial_id,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
close_to_open,34,2.0,1450,1505,0.5818374296810184,0.0302600330131991,-0.2399913244517787,1.0505625124500255,0.3901960784313725,1020,0.068091182928675,0.2370528094601688,0.014562529937507,-0.164657228587437,1.0228840749549502,0.3584905660377358,371,0.005790582616977,0.4074210378492298,185.5,3,False,False,,False,3,False
close_to_open,35,4.5,1440,1515,1.4544514815891705,0.0555390171581089,-0.1922668949132186,1.1178927464950248,0.401529636711281,523,0.1323204376083941,4.470340728292388,0.0755467425014494,-0.1613132775869349,1.2198214219630592,0.3438914027149321,221,0.0853230500266997,3.0735578222299864,110.5,3,True,False,,True,3,False
close_to_open,36,4.5,1500,1520,0.8634819462751211,0.037417945285328,-0.1906955601658549,1.0789271746191471,0.41995841995842,481,0.0798481373894492,8.889487304698903,0.1124861479234032,-0.1321793474642833,1.3518903240423517,0.3942307692307692,208,0.1243121751880251,10.294931287268108,104.0,5,True,True,,True,5,True
close_to_open,37,3.5,1430,1500,1.8249025237271408,0.0658861997788082,-0.2119415522784546,1.135736243522091,0.4160688665710186,697,0.1791421135286903,0.2208788815172133,0.0140714330558221,-0.1602887764034907,1.0235080847132532,0.3458646616541353,266,0.0052602114237203,0.1210359888516649,133.0,2,False,False,,False,2,False
close_to_open,38,5.5,1470,1510,2.3247253724361343,0.060864538201472,-0.1179104170501168,1.1482029267470633,0.3982035928143712,334,0.1298501205249265,20.2915557004768,0.1498270416767973,-0.0840569059408497,1.4851692188095018,0.3641975308641975,162,0.1619400023392794,8.728581853611724,81.0,5,True,True,,True,5,True
close_to_open,39,2.0,1470,1515,-0.2686119157272837,-0.0078280197593512,-0.295486284511108,0.9841484424727612,0.3876953125,1024,-0.0408207572487341,7.280273166450344,0.1089430575672609,-0.1479428295761175,1.2445394183817384,0.3805555555555555,360,0.1165275222105641,,180.0,4,True,False,,True,4,False
close_to_open,40,2.5,1500,1500,0.1046916598163064,0.011325078085352,-0.2379916462133017,1.018638065387513,0.4017857142857143,784,0.0124800972109098,4.768145600297838,0.0756845068061724,-0.1243604329763099,1.2155821488382057,0.3904109589041096,292,0.0727328159325126,45.54465569333885,146.0,5,True,True,,True,5,True
close_to_open,41,3.5,1450,1520,1.3883661643701604,0.0541473081777325,-0.1990279592496682,1.102217109002073,0.4138438880706921,679,0.1308393015139854,9.683583383425248,0.1201071017295906,-0.1415491320889766,1.339540766880537,0.3661971830985915,284,0.1390140705281048,6.974805085240792,142.0,5,True,True,,True,5,True
close_to_open,42,2.0,1470,1520,-0.350706204687404,-0.013689812574358,-0.3107756747824732,0.9744878698069818,0.3858800773694391,1034,-0.056499411728094,2.332366149183528,0.0526497602249211,-0.1705307757868417,1.112156256807377,0.4010840108401084,369,0.051790845784936,,184.5,3,False,False,,False,3,False
close_to_open,43,6.0,1460,1505,3.98678883350175,0.0905310341464934,-0.1157565959717457,1.2732277190624484,0.4086021505376344,279,0.2107457123807545,9.841723427663194,0.1002581732519349,-0.088735178887774,1.383086227076113,0.3602941176470588,136,0.0992784210722683,2.468584075725633,68.0,5,True,True,,True,5,True
