strategy,trial_id,p_gap_threshold_pct,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
gap_up_chase,68,6.0,1.5,75,2.5,-2.5,-1.40007085983357,-0.1913756532099861,-0.3301816069872429,0.6670664631793032,0.4565217391304347,184,-0.2685075777321304,-3.508632047940801,-0.3025948135579202,-0.2241595236442562,0.654330158473748,0.4745098039215686,255,-0.2077184972628909,,127.5,3,False,False,,False,3,False
gap_up_chase,69,6.5,4.0,45,3.5,-1.5,-1.4824092855169628,-0.1850780507365342,-0.2784548175878313,0.6396090546056453,0.3061224489795918,147,-0.2353169410557953,-3.1193540256648897,-0.1564496505323691,-0.1765417667599353,0.7596354783691948,0.3333333333333333,174,-0.1136500151899807,,87.0,2,False,False,,False,2,False
gap_up_chase,70,7.0,4.0,30,4.0,-2.5,-1.0303917957195872,-0.0503082226920939,-0.1359032024540903,0.8487404984218168,0.4146341463414634,82,-0.0732112326963493,3.181940364818648,0.055713224126437,-0.0877803940275054,1.1220323300273352,0.4678899082568807,109,0.0378423104963341,,54.5,4,True,False,,True,4,False
gap_up_chase,71,2.5,3.5,60,4.5,-1.0,-1.2354268381680409,-0.5845285496138646,-0.760984743516013,0.5560520649229834,0.1791443850267379,1122,-0.7580575038202565,-2.1004176826904244,-0.5760105683431208,-0.4674142728050042,0.519753746366969,0.1861152141802068,677,-0.453292666020661,,338.5,2,False,False,,False,2,False
gap_up_chase,72,2.0,1.5,60,6.5,-2.0,-0.9488737400410628,-0.0635799328632559,-0.3002461370543878,0.9272027695938092,0.2671370967741935,992,-0.1554860979299918,-2.24601591209948,-0.570255877318086,-0.4303903751144319,0.5216291773930561,0.2426470588235294,544,-0.401222521226682,,272.0,2,False,False,,False,2,False
gap_up_chase,73,2.0,2.0,75,3.5,-2.0,-1.3600676631214326,-0.3603566980403144,-0.6170307317197731,0.7017472897190095,0.3395613322502031,1231,-0.6019033363567067,-1.97740960859637,-0.7859922373796359,-0.5006344479311355,0.4687104384578816,0.3286908077994429,718,-0.5003357756813789,,359.0,2,False,False,,False,2,False
gap_up_chase,74,3.5,2.5,45,2.5,-3.5,-1.4562662198045924,-0.2845800566357242,-0.4882865227414292,0.6363154824295426,0.5264483627204031,397,-0.4651245170400733,-2.983056151401416,-0.4213368914215126,-0.3024171902850386,0.5879876111429364,0.5416666666666666,336,-0.2956345157633742,,168.0,3,False,False,,False,3,False
gap_up_chase,75,4.0,3.5,30,5.5,-1.0,-1.4237017884368457,-0.3784194837978933,-0.5553211336702467,0.5327199395477491,0.1488372093023255,430,-0.5452407082746348,-2.602923815426774,-0.4942232549736401,-0.3616555041153024,0.4562314768608493,0.1620879120879121,364,-0.3479970746282709,,182.0,2,False,False,,False,2,False
gap_up_chase,76,5.5,3.5,75,8.0,-1.5,-0.5817736349872983,-0.0203568737629032,-0.1991589595711788,0.943804141664403,0.2063492063492063,189,-0.0601750790433992,-3.182617574026199,-0.2283210299208748,-0.2536487574352823,0.670019822442074,0.175,240,-0.2198539401572371,,120.0,2,False,False,,False,2,False
gap_up_chase,77,5.5,1.5,90,6.0,-3.0,-0.9585180743389784,-0.0717418045606759,-0.292500207877756,0.8313942144093076,0.3378378378378378,148,-0.1527948327295242,-3.128267035744592,-0.1589881879886441,-0.2010722671020547,0.7669378946070137,0.3762886597938144,194,-0.1388814346276898,,97.0,3,False,False,,False,3,False
