strategy,trial_id,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
trend_followthrough,45,19,0.1,1470,8.489868487618018,0.138150458261087,-0.12684490415419275,1.6536266149323564,0.5529411764705883,255,0.4453299951047047,19.400919165044147,0.12908937835030782,-0.050679242382661256,1.8922712832194417,0.4375,48,0.10877077671488711,2.2851848875326235,24.0,5,True,True,
trend_followthrough,46,19,0.9,1460,12.073971420921618,0.1580302173977963,-0.11068503593552485,1.8803551829298655,0.5674418604651162,215,0.5336873426300708,7.071167396602701,0.0743199935623351,-0.050679242382661256,1.4362305117595422,0.38461538461538464,39,0.04726808259556825,0.5856538126593439,19.5,5,True,True,
trend_followthrough,47,7,0.5,1450,19.057735708018786,0.1857205051013657,-0.10529667110923188,1.8907463565110874,0.5531914893617021,329,0.7415799082224905,12.005226230650473,0.09697198106151407,-0.046108469058460146,1.462154803862433,0.3918918918918919,74,0.06868648916269882,0.629939800539847,37.0,5,True,True,
trend_followthrough,48,20,0.8,1430,11.606219350361638,0.16486846481093811,-0.12773114824589404,1.8297564664281762,0.5697211155378487,251,0.5812826621327865,29.14080997901203,0.15072929716795172,-0.04157581005714998,2.0509005643211453,0.36363636363636365,44,0.12714078708205845,2.510792627584109,22.0,5,True,True,
trend_followthrough,49,13,0.7000000000000001,1430,9.565402998943375,0.16184082452582874,-0.1369068789329777,1.686191149797537,0.5463917525773195,291,0.524783200723373,18.305455561394833,0.11753163896736958,-0.04157581005714998,1.656795098280562,0.35714285714285715,56,0.08908389490495616,1.9137150377686034,28.0,5,True,True,
trend_followthrough,50,6,0.5,1470,21.357026094737787,0.19019059468386282,-0.08459015630667444,1.8624826893930806,0.5521472392638037,326,0.6821638681318485,-1.1097497160819072,-0.013807154612771886,-0.07732467944120125,0.9324089913330108,0.352112676056338,71,-0.013437799018361729,-0.051961809249993905,35.5,4,False,False,
trend_followthrough,51,10,0.0,1460,13.51708391803652,0.15938930468647688,-0.0960670914384901,1.7058690143125805,0.5448717948717948,312,0.5211114206425698,8.06990148947283,0.07145342875493468,-0.050679242382661256,1.3266812044759946,0.40298507462686567,67,0.05306151093436906,0.5970149729339742,33.5,5,True,True,
trend_followthrough,52,5,0.1,1500,12.512153039080342,0.15001410531156542,-0.10170739020675706,1.579263540057402,0.5164556962025316,395,0.51242621964053,9.11974796209689,0.08240757561488464,-0.05072007281790048,1.328734153537922,0.3950617283950617,81,0.059004584644840596,0.7288711969564593,40.5,5,True,True,
trend_followthrough,53,5,0.8,1450,17.44812530856247,0.18852696255552015,-0.12073136664259115,1.8824131661875667,0.546242774566474,346,0.7704826455265028,9.37234275307417,0.07947856839826932,-0.04634498938850671,1.3587421826581676,0.37333333333333335,75,0.05590077367742552,0.537154713605524,37.5,5,True,True,
trend_followthrough,54,7,1.0,1500,18.024663760766103,0.1768804034482621,-0.08429136960335189,1.880660725519533,0.551094890510949,274,0.5930682189101639,-0.4730458888802806,-0.002391321041592846,-0.08136042546610887,0.9716575183354624,0.3870967741935484,62,-0.005900782865714382,-0.02624436689409704,31.0,4,False,False,
