strategy,trial_id,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
breakout_52w,10,210,0.6000000000000001,1480,12.812310472776405,0.1374564340260193,-0.0850479107631901,1.9207502040790227,0.5686274509803921,153,0.4497996183243984,4.808330716845767,0.048994919309019,-0.0402988013745687,1.3000066663800884,0.4090909090909091,22,0.0270678747259376,0.3752899000584248,11.0,3,True,False,,True,3,False
breakout_52w,11,120,0.2,1460,10.545569164323624,0.1337352962608884,-0.1023762594601702,1.8480839573509973,0.5606936416184971,173,0.4462834117325229,25.76723732521445,0.1296466058883255,-0.0402988013745687,2.154809109869041,0.44,25,0.1133674463976175,2.4434183611811835,12.5,4,True,False,,True,4,False
breakout_52w,12,240,0.5,1440,6.750220226386244,0.1219031219522663,-0.119342081214768,1.6438215901205238,0.5654761904761905,168,0.3468751316488119,39.22710677083607,0.1583051659873219,-0.0339749510412827,2.447833895634305,0.3846153846153846,26,0.1362447267314548,5.811233627237737,13.0,4,True,False,,True,4,False
breakout_52w,13,60,0.6000000000000001,1440,8.132018239294634,0.1297456816285529,-0.1279614817681398,1.7857387732640364,0.5681818181818182,176,0.4325392874507121,28.243430931699724,0.1488029984224926,-0.0449433910870575,2.2687646320531965,0.4074074074074074,27,0.1315346155447729,3.4731145578627647,13.5,4,True,False,,True,4,False
breakout_52w,14,120,0.5,1470,13.824898126061196,0.1426608020295575,-0.0824809624250577,1.9561349763046636,0.575,160,0.4673975944945365,4.808330716845767,0.048994919309019,-0.0402988013745687,1.3000066663800884,0.4090909090909091,22,0.0270678747259376,0.3478022530800154,11.0,3,True,False,,True,3,False
breakout_52w,15,240,0.0,1500,8.951890565473537,0.1202667561420278,-0.1022549086344384,1.7473504852374984,0.5481927710843374,166,0.3875445430251139,25.76723732521445,0.1296466058883255,-0.0402988013745687,2.154809109869041,0.44,25,0.1133674463976175,2.8784129047104154,12.5,4,True,False,,True,4,False
breakout_52w,16,180,0.1,1490,9.415452864116467,0.1242716617220933,-0.1026367256373585,1.7683177189538972,0.5523255813953488,172,0.4060413648167111,25.76723732521445,0.1296466058883255,-0.0402988013745687,2.154809109869041,0.44,25,0.1133674463976175,2.7366965452524106,12.5,4,True,False,,True,4,False
breakout_52w,17,60,0.8,1470,14.533199430696731,0.142802928459937,-0.0853276789084603,2.05804195561622,0.5796178343949044,157,0.5014888337897525,2.6063580130295465,0.0341537379248577,-0.0506792423826612,1.195227305537604,0.4090909090909091,22,0.0188841458250776,0.1793382128593411,11.0,3,False,False,,False,3,False
breakout_52w,18,240,1.0,1480,12.739197783523965,0.1385884468654209,-0.0860690503913559,2.0010703586846623,0.5547445255474452,137,0.4521719882901984,4.070502217100326,0.0431568283408564,-0.0402988013745687,1.2627633586406233,0.3809523809523809,21,0.0231689127063874,0.3195257885362957,10.5,3,True,False,,True,3,False
breakout_52w,19,180,0.3,1440,7.547287618301342,0.1191578898660514,-0.1047437577195807,1.5987621750437342,0.5519125683060109,183,0.3412040337732851,37.7138255218965,0.1575248316264732,-0.0350529605741475,2.4315333137892727,0.3703703703703703,27,0.1354530207030853,4.997003881294337,13.5,4,True,False,,True,4,False
breakout_52w,20,60,1.0,1460,13.431650666516347,0.1378283843548494,-0.0862998967457708,1.9978157925128184,0.5570469798657718,149,0.4738997088225134,1.6147777996654762,0.0237987774023402,-0.0506792423826612,1.1244851002343028,0.3636363636363636,22,0.0119319527742398,0.1202218431492521,11.0,3,False,False,,False,3,False
breakout_52w,21,240,0.4,1440,7.524274359391464,0.1186997400514882,-0.104610874283125,1.6099445555538312,0.5574712643678161,174,0.3399160216564842,39.70023462631249,0.1588345861191052,-0.0337043112337538,2.4577529015460704,0.3846153846153846,26,0.1366358355748951,5.27628748369076,13.0,4,True,False,,True,4,False
breakout_52w,22,240,0.3,1440,7.063031426809929,0.1136747630008256,-0.1046606750750777,1.5738125434501955,0.5480225988700564,177,0.321695021935795,37.7138255218965,0.1575248316264732,-0.0350529605741475,2.4315333137892727,0.3703703703703703,27,0.1354530207030853,5.339608907691104,13.5,4,True,False,,True,4,False
breakout_52w,23,150,0.4,1500,16.649781029876486,0.1435519314034369,-0.0707557301420109,1.9664869307859567,0.5828220858895705,163,0.4803936432907767,6.665352391133272,0.0643764958831269,-0.0402988013745687,1.4127836405716347,0.4347826086956521,23,0.0365279197398062,0.4003267297733776,11.5,3,True,False,,True,3,False
breakout_52w,24,210,0.5,1450,11.25761356591066,0.1455533724567297,-0.1125709396268173,1.9220929779906128,0.5568862275449101,167,0.5106481616416267,32.131738103823416,0.1433416100299565,-0.0360027092616125,2.357797921847101,0.375,24,0.122890245687709,2.85422287021132,12.0,4,True,False,,True,4,False
breakout_52w,25,120,0.5,1460,13.824898126061196,0.1426608020295575,-0.0824809624250577,1.9561349763046636,0.575,160,0.4673975944945365,4.808330716845767,0.048994919309019,-0.0402988013745687,1.3000066663800884,0.4090909090909091,22,0.0270678747259376,0.3478022530800154,11.0,3,True,False,,True,3,False
breakout_52w,26,210,0.4,1440,8.146504185707407,0.1252798480871771,-0.1048358514103747,1.6408918943895967,0.5617977528089888,178,0.3649733985010901,39.70023462631249,0.1588345861191052,-0.0337043112337538,2.4577529015460704,0.3846153846153846,26,0.1366358355748951,4.8732847515090425,13.0,4,True,False,,True,4,False
breakout_52w,27,180,1.0,1450,15.85037091819403,0.1635642819321791,-0.0958081404084888,2.180493420247511,0.5751633986928104,153,0.5928358747783238,28.370104166162477,0.1334134406297686,-0.0369048447145737,2.2546204485072745,0.3636363636363636,22,0.1140749586875473,1.789870048630693,11.0,4,True,False,,True,4,False
breakout_52w,28,180,0.3,1450,12.156592265587522,0.1406638436158773,-0.0990354885863708,1.862931702284582,0.5536723163841808,177,0.4892280132734898,29.088206313707342,0.133271842828517,-0.0357320694540838,2.2450360682245254,0.3333333333333333,24,0.1134492188128675,2.392792789147768,12.0,3,True,False,,True,3,False
breakout_52w,29,150,0.6000000000000001,1470,12.693426151837018,0.1364401586236545,-0.0851271431352715,1.914439329028648,0.5741935483870968,155,0.446612546410563,4.808330716845767,0.048994919309019,-0.0402988013745687,1.3000066663800884,0.4090909090909091,22,0.0270678747259376,0.3788047970129716,11.0,3,True,False,,True,3,False
breakout_52w,30,210,0.8,1460,14.579478543655611,0.149148821880912,-0.084950752971736,2.092527683405914,0.581081081081081,148,0.5009663369621029,5.413905342224178,0.0540210465886139,-0.0402988013745687,1.3436514453701331,0.4285714285714285,21,0.03020681046325,0.3713373784949315,10.5,3,True,False,,True,3,False
breakout_52w,31,210,0.5,1430,7.294418773901429,0.1250839306520125,-0.1142382178632182,1.6059139739658177,0.5340314136125655,191,0.3572551993617656,39.40892501603747,0.1544416520928204,-0.0329285013333839,2.3104193243446147,0.3846153846153846,26,0.1336528371668426,5.4026134552403215,13.0,4,True,False,,True,4,False
