strategy,trial_id,p_vwap_deviation_pct,p_rebound_min_bars,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
vwap_bounce,27,-1.8,9,120,5.0,-2.7,-0.07908639953170302,-0.00027100074372551566,-0.23072627490593767,1.0014402770551278,0.38613861386138615,808,-0.009238066132805978,-3.129799741010951,-0.3406512921544345,-0.25547662560238166,0.7043978866310181,0.3243801652892562,484,-0.21524578889935198,,242.0,2,False,False,
vwap_bounce,28,-1.8,9,330,2.5,-2.4,-1.3043858243470186,-0.2534172927825906,-0.4822306053584445,0.8212411908423635,0.49287925696594426,1615,-0.3933064051002719,-2.323275381838626,-0.5750654299715775,-0.4138268124233557,0.6291638954424075,0.416958041958042,1144,-0.3879185307908545,,572.0,3,False,False,
vwap_bounce,29,-1.5,3,300,5.0,-3.0,-0.6372272585951212,-0.054760172876172436,-0.2527906739538085,0.9574845456989604,0.42198100407055633,1474,-0.08471521055467457,-2.6076065010653178,-0.45706935263457477,-0.3494703010867412,0.6827557760031102,0.3519913885898816,929,-0.30598706191782177,,464.5,3,False,False,
vwap_bounce,30,-0.30000000000000027,6,270,1.0,-2.7,-1.2762467191431155,-1.0494854211242777,-0.7202930096769413,0.5567814527557476,0.6777859237536656,5456,-0.7186959392472506,-1.8143510887589476,-1.3295522421482178,-0.5483187084622161,0.4642121264974619,0.6276556093924711,2683,-0.5480935799975568,,1341.5,3,False,False,
vwap_bounce,31,-1.5,5,150,1.0,-2.1,-1.1776202280955554,-0.9462085740266722,-0.8203147132576085,0.44028206292817773,0.5969760166840459,1918,-0.8181185687127376,-1.8858166153761895,-1.102251057955619,-0.5265229404643633,0.4371817355343003,0.5504439063761097,1239,-0.5260354799566787,,619.5,3,False,False,
vwap_bounce,32,-0.30000000000000027,2,90,4.5,-2.7,-0.02004025596935522,0.0014768050887737744,-0.21792344407696024,1.0063419025902882,0.4287537218205019,2351,-0.0022033402801194812,-2.54527508566219,-0.6981303712986126,-0.36869886624235154,0.59582468140179,0.33493282149712095,1042,-0.34319889200325493,,521.0,2,False,False,
vwap_bounce,33,-0.6000000000000001,3,120,4.5,-2.4,-0.3319022880350645,-0.028901524475589097,-0.24075190796847298,0.9856253294944048,0.3989317995069844,2434,-0.04110169632072369,-3.009160120071198,-0.47083287113049604,-0.28047677948120253,0.7181484448961881,0.3292035398230089,1130,-0.2443363950176226,,565.0,2,False,False,
vwap_bounce,34,-1.8,9,330,4.0,-2.1,-1.2030217970035932,-0.18575439655668471,-0.42022560707961376,0.862306429327173,0.3734015345268542,1564,-0.2987844038042071,-2.2801438677649366,-0.579806719223981,-0.4220428441735093,0.6254799129147256,0.30604982206405695,1124,-0.3900568773392491,,562.0,2,False,False,
vwap_bounce,35,-0.6000000000000001,4,180,4.0,-1.5,-1.3915676256491434,-0.5022869038527291,-0.5249186856879746,0.7621590039496312,0.2874236252545825,3928,-0.4835214339932121,-1.9157561865644768,-1.1660143841096824,-0.5176772353503293,0.5041656951605877,0.22161354581673307,2008,-0.5148599573947181,,1004.0,2,False,False,
vwap_bounce,36,-0.8999999999999999,9,270,1.5,-2.1,-1.2803843562699004,-0.8115171565396382,-0.7018067736057312,0.6428225950291914,0.5489130434782609,3864,-0.6844176982569826,-1.7042251686238956,-1.3172289854453507,-0.5850585292298737,0.45787603274331334,0.482886216466235,2162,-0.5850585292298737,,1081.0,3,False,False,
