======================================================================
일봉 필터 옵션별 시뮬레이션 비교
======================================================================

======================================================================
필터 옵션: none
======================================================================
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [270660] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [060250] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [450140] 일봉 DuckDB에서 로드 (574개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [060250] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [270660] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [067310] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [356890] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [010580] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [356860] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [036710] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [195870] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [036710] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [003535] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [089970] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [042520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [195870] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:43 | utils.data_cache | DEBUG | [105840] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [353200] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [199430] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [466100] 일봉 DuckDB에서 로드 (1888개)
